Stock,sgRNA,COG,Gene,Old,KEGG,Condition,mumax,mumax_minusRha,Gen Time,Depletion_per,Dep,D/CR,D/EP,D/mumaxminusR,D/mumaxplusR,minusRmumax/CR,minusRmumax/EP,plusRmumax/CR,plusRmumax/EP,mumax_plusRha,CRISPRRater_Score_real,Rank_CR,CRISPR Efficiency Predictor,Rank_EP,(1-Dep)/CR,(1-Dep)/EP,1-DCR,1-DEP,Lag Time,Spike,S,SpikeN,Unnamed: 33,Dep_Per*coeff,mumax_plusRha*coeff,Lag Time*coeff,Sum,Intercept,Predicted Spike_DML,Predicted Spike_ML,mumax_plusRha*coeff.1,Lag Time*coeff.1,Sum.1,Unnamed: 44,Dep_Per*coeff.1,mumax_plusRha*coeff.2,Lag Time*coeff.2,Sum.2,GLM_Predicted Spike_DML,Unnamed: 50,Depletion_mumaxplusrha_lagtime,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Predicted_Depletion_per,Predicted_Depletion_per_Polynomial
,1422,G,fructose-bisphosphate aldolase,fructose-bisphosphate aldolase,Biosynthesis of amino acids,(-) Rhamnose,0.790519,0.790519,38.07625117,100.0,1.0,1.188500266,0.144026224,1.264991733,18.54101151,0.939532042,0.113855467,0.064101156,0.007767981,0.05393449,0.84139653,12,6.94318,107,0.0,0.0,-0.188500266,0.855973776,17.0,1X,1,5,,3.52,-0.028871132,1.5725,5.063628868,-0.3547,4.708928868,3.155228868,-0.028871132,1.5725,1.543628868,,1.9,0.012750113,0.1462,2.058950113,1.405850113,,             ,   coef   , std err ,    t    ,P>|t| ,94.94664177679995,5.254238190116102
,1420,L,DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA Replication,(-) Rhamnose,0.7570404,0.7570404,10.5353778,39.36567164,0.393656716,0.505920361,0.076290209,0.519994331,17.93320427,0.972934378,0.14671354,0.028211376,0.004254132,0.021951276,0.778100165,67,5.15999,327,0.77926122,0.117508616,0.494079639,0.923709791,5.0,1X,1,1,,1.385671642,-0.011750518,0.4625,1.836421124,,1.481721124,,-0.011750518,0.4625,0.450749482,,0.747947761,0.005189282,0.043,0.796137043,0.143037043,,const        ,-0.3547,0.239,-1.484,0.138,53.380215483200026,1.6954240431140657
,1423,G,fructose-bisphosphate aldolase,fructose-bisphosphate aldolase,Biosynthesis of amino acids,(-) Rhamnose,0.79603142,0.79603142,10.16783962,82.1045194,0.821045194,1.496944208,0.184052472,1.031423099,45.90517843,1.45133865,0.178445172,0.032609485,0.004009405,0.017885677,0.548480825,485,4.46093,429,0.326273587,0.040116031,-0.496944208,0.815947528,24.0,1X,1,5,,2.890079083,-0.009574203,2.22,5.10050488,,4.74580488,,-0.009574203,2.22,2.210425797,,1.559985869,0.004228174,0.2064,1.770614043,1.117514043,,Depletion_per,0.0352,0.001,26.315,0,80.54107287669991,7.042867871546521
,1421,M,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.740321217,0.740321217,7.465052456,97.52956433,0.975295643,1.293384573,0.216389028,1.317395235,32.1857985,0.981774139,0.164255208,0.040184946,0.006723121,0.030302049,0.754064695,97,4.50714,422,0.032761588,0.00548116,-0.293384573,0.783610972,24.0,5X,5,5,,3.433040664,-0.016220687,2.22,5.636819978,,5.282119978,,-0.016220687,2.22,2.203779313,,1.853061722,0.007163404,0.2064,2.066625127,1.413525127,,mumax_plusRha,0.7295,0.305,2.39,0.017,89.66169312179987,7.131853465243988
,1578,,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.79439164,0.79439164,1.677448742,55.16853933,0.551685393,0.809120446,0.075510657,0.694475326,5.049398911,1.165081632,0.108730511,0.160240944,0.014954385,0.109257637,0.68183346,245,7.30606,78,0.657513356,0.061362021,0.190879554,0.924489343,12.61345928,1X,1,3,,1.941932584,-0.058485613,1.166744983,3.050191955,,2.695491955,,-0.058485613,1.166744983,1.10825937,,1.048202247,0.025828505,0.10847575,1.182506502,0.529406502,,Lag Time     ,0.0328,0.013,2.467,0.014,65.15627217450006,4.181893868582329
,1974,K,type III pantothenate kinase,type III pantothenate kinase,Metabolic pathways,(-) Rhamnose,0.7812298,0.7812298,1.660874757,47.27102333,0.472710233,0.622341003,0.080759611,0.605084744,1.70322952,1.028518748,0.133468266,0.365388807,0.047415578,0.2775376,0.759567875,89,5.8533,235,0.694197035,0.090084186,0.377658997,0.919240389,11.44843062,1X,1,2,,1.663940021,-0.148565877,1.058979832,2.574353976,,2.219653976,,-0.148565877,1.058979832,0.910413955,,0.898149443,0.065609889,0.098456503,1.062215835,0.409115835,,Spike = intercept + coef1 * Depletion_per + coef2 * mumax_plusRha + coef3 * Lag Time,,,,,62.192230115900045,4.404225512027956
,1596,K,chromosome partitioning protein ParB,chromosome partitioning protein ParB,Chromosome and associated proteins,(-) Rhamnose,0.781974134,0.781974134,1.654081233,17.07264028,0.170726403,0.223918614,0.02958007,0.21832743,1.360339035,1.025609172,0.1354849,0.164605006,0.021744631,0.125502833,0.76244846,84,5.77167,246,1.087645448,0.143680009,0.776081386,0.97041993,17.62731471,1X,1,2,,0.600956938,-0.067181667,1.630526611,2.164301882,,1.809601882,,-0.067181667,1.630526611,1.563344944,,0.324380165,0.02966887,0.151594907,0.505643942,-0.147456058,,"The coefficients (coef1, coef2, coef3) represent the strength and direction of the relationship between each independent variable and the dependent variable ""Spike"". The intercept term represents the constant term.",,,,,36.30248327790003,5.815863125194398
,1558,O,protein GrpE,protein GrpE,,(-) Rhamnose,0.783334989,0.783334989,1.641803355,100.0,1.0,1.135808626,0.17772217,1.276593046,6.254705767,0.889718638,0.139215994,0.181592655,0.028414154,0.159879623,0.88043001,6,5.62676,263,0.0,0.0,-0.135808626,0.82227783,10.58021431,5X,5,5,,3.52,-0.085583562,0.978669824,4.413086261,,4.058386261,,-0.085583562,0.978669824,0.893086261,,1.9,0.037795543,0.090989843,2.028785386,1.375685386,,,,,,,81.24304868444001,3.716200219897796
,1575,T,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.787822391,0.787822391,1.602577831,0.0,0.0,0.0,0.0,0.0,0.0,1.132321928,0.153085503,0.169654845,0.022936672,0.118038768,0.69575831,216,5.14629,328,1.437280713,0.194314739,1.0,1.0,10.17988169,1X,1,1,,0.0,-0.063186153,0.941639056,0.878452904,,0.523752904,,-0.063186153,0.941639056,0.878452904,,0.0,0.027904365,0.087546983,0.115451347,-0.537648653,,mumaxplusrha_lagtime,,,,,23.075196780299994,3.4575609776421947
,1585,,0,,Others,(-) Rhamnose,0.78871988,0.78871988,1.594956504,5.0,0.05,0.075857417,0.010683852,0.063393863,0.397599887,1.196605053,0.168531329,0.190788326,0.026870863,0.125754563,0.65913133,301,4.67996,393,1.441290918,0.202993188,0.924142583,0.989316148,10.76377494,1X,1,1,,0.176,-0.067316418,0.995649182,1.104332764,,0.749632764,,-0.067316418,0.995649182,0.928332764,,0.095,0.029728379,0.092568464,0.217296843,-0.435803157,,             ,   coef   , std err ,    t    ,P>|t| ,21.195036715,3.664491442856902
