sgRNA,COG,Gene,Old,KEGG,Condition,mumax,mumax_minusRha,Gen Time,Depletion_per,mumax_plusRha
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.69180274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.69280274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.7080274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.63781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.7180274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.60781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.680274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.61781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.605781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6880274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.60781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.64781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.645781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
1198,#N/A,,#N/A,#N/A,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0,0.7581939
1198,#N/A,,#N/A,#N/A,(+) Rhamnose,0.62781939,,,,0.7581939
