sgRNA,lowest_OD,lowest_OD2,Depletion
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1338,13.78214735,86.21785265,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1339,11.03492359,88.96507641,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1340,8.755962498,91.2440375,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1341,4.55985179,95.44014821,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1342,99.08909764,0.91090236,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1343,86.8721276,13.1278724,100
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1350,17.18633725,82.81366275,99.07113401
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1351,66.27488152,33.72511848,97.18008013
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1352,12.47912193,87.52087807,98.69084083
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1353,76.02096528,23.97903472,97.60617654
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1354,100,0,32.51535093
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1355,92.68345401,7.31654599,100
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1362,30.52142517,69.47857483,98.51345147
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1363,16.7530328,83.2469672,98.76522823
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1404,62.26195395,37.73804605,97.72794894
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1405,27.20908299,72.79091701,95.12619466
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
1406,44.42988688,55.57011312,84.24190034
