sgRNA,Locus_tag,Gene,Gene2,Old_locus_tag,KEGG,COG,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,drug,Mean,Z_scores
1339,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",446.1339163,-0.562390473,0.145043403,-3.87739437,0.000105581,0.002331232,C109,-0.040802392,-3.596082767
1340,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",295.1408207,-0.615808776,0.165402258,-3.723097755,0.000196793,0.003879639,C109,,-3.476411932
1341,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",429.563825,-0.646395601,0.234559017,-2.755790883,0.005855042,0.053866384,C109,,-2.581837254
1342,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",335.0118909,-0.076819277,0.121081132,-0.634444654,0.525790675,0.808458086,C109,,-0.297460753
1343,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",911.2372769,-0.338735242,0.104997337,-3.226131738,0.001254756,0.016107564,C109,,-2.837527672
1350,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",276.0102135,-1.009311429,0.160454956,-6.290310098,3.17E-10,3.50E-08,C109,,-6.036018219
1351,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",132.5412064,-0.55971188,0.195632509,-2.861037166,0.004222575,0.04018727,C109,,-2.652470643
1352,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",572.691791,-0.568924151,0.152746025,-3.724641292,0.000195593,0.003879639,C109,,-3.45751557
1353,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",619.3758536,-0.717221938,0.129676978,-5.530834766,3.19E-08,2.51E-06,C109,,-5.216188382
1354,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",245.7471507,-0.119223566,0.145682872,-0.818377377,0.413141736,0.735658832,C109,,-0.538300579
1355,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",68.31182551,-0.475472282,0.271840382,-1.749086276,0.080276107,0.305602836,C109,,-1.598989399
1362,WQ49_RS12990,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0030,Metabolic pathways,Energy production and conversion,1692.623514,-0.625911196,0.116126802,-5.389894358,7.05E-08,4.86E-06,C109,,-5.038533678
1363,WQ49_RS12995,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0031,Metabolic pathways,Energy production and conversion,1655.974772,-0.737569135,0.105854934,-6.967735062,3.22E-12,8.56E-10,C109,,-6.582279319
1365,WQ49_RS13005,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0033,Metabolic pathways,Energy production and conversion,929.010912,-0.461632163,0.096625858,-4.777522028,1.77E-06,8.91E-05,C109,,-4.355250048
1366,WQ49_RS13010,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0034,ATP biosynthesis,Energy production and conversion,881.9331628,-0.412002512,0.123334213,-3.340537084,0.000836165,0.011776042,C109,,-3.009709236
1367,WQ49_RS13015,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0035,ATP biosynthesis,Energy production and conversion,644.233347,-0.127332889,0.11656359,-1.092389911,0.274661756,0.594561918,C109,,-0.742345851
1375,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",1020.437874,-0.052736642,0.094505129,-0.558029415,0.576824298,0.847160848,C109,,-0.126281505
1376,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",2449.464716,0.111290982,0.075009785,1.483686193,0.137892191,0.388349436,C109,,2.027647121
1377,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",3212.60549,0.114047468,0.081675033,1.39635657,0.162607147,0.439995808,C109,,1.895926523
1378,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",2907.309798,0.16393852,0.074726521,2.193846539,0.028246444,0.163932267,C109,,2.739869444
1384,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0166,Others,Energy production and conversion,14244.06833,-1.251362509,0.20399174,-6.134378334,8.55E-10,7.87E-08,C109,,-5.934358509
1385,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0166,Others,Energy production and conversion,894.9559004,-0.004801926,0.107887676,-0.044508565,0.964499025,1,C109,,0.333684698
1388,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,453.5748086,0.005797297,0.120528542,0.048098955,0.961637379,1,C109,,0.386627834
1389,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,772.383683,0.063376724,0.109213027,0.580303708,0.561709828,0.838954132,C109,,0.953907419
1390,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,391.2220577,0.133487855,0.115405387,1.156686517,0.24740046,0.5714019,C109,,1.510243602
1391,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,461.202911,0.190857696,0.110258228,1.731006384,0.083450626,0.306763273,C109,,2.101068492
1396,WQ49_RS21425,parA parB operon,parA parB operon,BCAM0004,Chromosome and associated proteins,Transcription,639.3150323,-0.287683513,0.106165427,-2.709766468,0.00673306,0.058181179,C109,,-2.325438034
1397,WQ49_RS21430,parA parB operon,parA parB operon,BCAM0003,Chromosome and associated proteins,"Cell cycle control, cell division, chromosome partitioning",686.4226707,0.07006865,0.11131859,0.629442488,0.529059409,0.811224427,C109,,0.995979579
1398,WQ49_RS21425,parA parB operon,parA parB operon,BCAM0004,Chromosome and associated proteins,Transcription,10.02545912,-0.196324687,0.623216956,-0.315018205,0.752747831,0.951579725,C109,,-0.249547598
1399,WQ49_RS21430,parA parB operon,parA parB operon,BCAM0003,Chromosome and associated proteins,"Cell cycle control, cell division, chromosome partitioning",2648.379783,-0.23177851,0.089215654,-2.597957869,0.009378,0.075024,C109,,-2.140612209
1404,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,417.5239161,-0.083705348,0.113448023,-0.737829937,0.460617799,0.76584646,C109,,-0.378172792
1405,WQ49_RS12395,rpoB,rpoB,BCAL0227,Metabolic pathways,Transcription,280.2186836,-0.140899051,0.14414208,-0.977501166,0.328321101,0.668339942,C109,,-0.694430517
1406,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,187.1893737,0.012301691,0.152890008,0.080461055,0.935870569,1,C109,,0.347335213
1407,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,360.1015624,0.053134922,0.155797833,0.341050457,0.733065597,0.948296381,C109,,0.602943651
1408,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,279.8430096,-0.39112001,0.15780916,-2.478436673,0.013195953,0.095921549,C109,,-2.21988139
1410,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",899.9290844,0.048222518,0.100406344,0.480273618,0.631032846,0.900077857,C109,,0.886646269
1411,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",1330.407068,0.037503404,0.105118324,0.35677323,0.721261578,0.948296381,C109,,0.74493003
1412,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",161.0533767,-0.363090631,0.175019861,-2.074568156,0.038026576,0.182527565,C109,,-1.841438088
1413,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",1067.044644,-0.445250058,0.110805718,-4.018294976,5.86E-05,0.001470849,C109,,-3.650061341
1414,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA Replication,"Replication, recombination and repair",0.584014979,0.120243272,2.819712605,0.042643804,0.965985477,1,C109,,0.057114212
1415,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA Replication,"Replication, recombination and repair",241.1487962,-0.27943597,0.138489134,-2.017746523,0.043617667,0.202327329,C109,,-1.7231213
1416,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA Replication,"Replication, recombination and repair",362.5715081,-0.171959868,0.143686292,-1.196772955,0.231395063,0.548197745,C109,,-0.912804375
1417,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA Replication,"Replication, recombination and repair",370.1074227,-0.289889193,0.122030422,-2.375548557,0.017522887,0.119415228,C109,,-2.041186097
1418,WQ49_RS00545,leuS,leuS,BCAL3373,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",425.3773508,0.082511864,0.122920221,0.671263545,0.502052654,0.79420874,C109,,1.00320561
1419,WQ49_RS00550,leuS,leuS,BCAL3372,Others,Cell wall/membrane/envelope biogenesis,167.005768,-0.247559757,0.166336312,-1.488308562,0.136669538,0.386879923,C109,,-1.243007992
1420,WQ49_RS00555,leuS,leuS,BCAL3371,DNA Replication,"Replication, recombination and repair",116.2318216,-0.177015959,0.186763463,-0.947808292,0.343227058,0.681515598,C109,,-0.729337337
1421,WQ49_RS00550,leuS,leuS,BCAL3372,Others,Cell wall/membrane/envelope biogenesis,1369.377498,-0.260277259,0.113788608,-2.287375367,0.022173923,0.141933263,C109,,-1.928794724
1422,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,22.39126401,0.361552629,0.39591998,0.913196219,0.361139352,0.699469903,C109,,1.016253388
1423,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,368.7948144,-0.260635488,0.128662492,-2.025730136,0.042792447,0.201892569,C109,,-1.708602809
1424,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,552.8288225,-0.229892202,0.117597154,-1.954912964,0.050593344,0.219401296,C109,,-1.607945451
1425,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,351.7869403,-0.36082727,0.13260609,-2.721045986,0.006507571,0.057938372,C109,,-2.413349771
1431,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,357.0733337,-0.166462464,0.127628506,-1.304273388,0.192140385,0.490740771,C109,,-0.984576845
1432,WQ49_RS00925,pyrroline-5-carboxylate reductase,pyrroline-5-carboxylate reductase,BCAL3292,Arginine and proline metabolism,Amino acid transport and metabolism,780.7141828,0.125646471,0.104512142,1.20221888,0.229278736,0.545525269,C109,,1.59262703
1434,WQ49_RS12210,hemB,hemB,BCAL0264,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,574.9679323,-0.154791877,0.115003947,-1.345970117,0.178312154,0.459945369,C109,,-0.991178886
1435,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,2434.698797,-0.04830191,0.106362964,-0.454123389,0.64974002,0.909268064,C109,,-0.070508731
1436,WQ49_RS12260,secY,secY,BCAL0254,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",61.11460781,-0.180143202,0.270232625,-0.666622699,0.505013166,0.79420874,C109,,-0.515632817
1437,WQ49_RS00270,nrdB,nrdB,BCAL3428,adenosine deoxyribonucleotides de novo biosynthesis,Nucleotide transport and metabolism,0.424127232,2.554173278,2.933094398,0.870811822,0.383856909,0.710193698,C109,,0.884722862
1438,WQ49_RS26970,metG,metG,BCAL2646,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",0.737232205,1.090179414,2.348430692,0.464216133,0.642492904,0.907048805,C109,,0.481590455
1439,WQ49_RS34305,astD,astD,BCAL1062,Arginine and proline metabolism,Energy production and conversion,590.1736943,-0.102033579,0.102018093,-1.000151792,0.317237055,0.648573534,C109,,-0.600199285
1440,WQ49_RS30045,arnA1,arnA1,BCAL1931,Others,Cell wall/membrane/envelope biogenesis,795.2166186,-0.322821555,0.106927435,-3.019071355,0.002535508,0.027443146,C109,,-2.6374818
1441,WQ49_RS23480,fmt,fmt,BCAL0466,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",1692.635491,-0.159020348,0.095619847,-1.663047508,0.096302926,0.332245095,C109,,-1.23633283
