,Strain,Well,Growth,Conci
1,Pth,1,45,E
2,Pth,1,51.84989429,D
3,Pth,1,63.58350951,C
4,Pth,1,61.62790698,B
5,Pth,1,100,A
11,rpsA,2,52,E
12,rpsA,2,55,D
13,rpsA,2,60.18711019,C
14,rpsA,2,66.89189189,B
15,rpsA,2,100,A
16,virB1,3,71.95512821,E
17,virB1,3,82.21153846,D
18,virB1,3,84.50320513,C
19,virB1,3,88.30128205,B
20,virB1,3,100,A
21,aminopeptidaseP,4,61.05610561,E
22,aminopeptidaseP,4,62.44224422,D
23,aminopeptidaseP,4,63.10231023,C
24,aminopeptidaseP,4,76.36963696,B
25,aminopeptidaseP,4,100,A
26,WQ49_RS24220,5,75.66156145,E
27,WQ49_RS24220,5,76.72768024,D
28,WQ49_RS24220,5,83.22749346,C
29,WQ49_RS24220,5,97.49719836,B
30,WQ49_RS24220,5,100,A
31,K56-2 WT,9,95,E
32,K56-2 WT,9,100,D
33,K56-2 WT,9,100,C
34,K56-2 WT,9,100,B
35,K56-2 WT,9,100,A
36,pgRNA_non-target,8,92,E
37,pgRNA_non-target,8,98,D
38,pgRNA_non-target,8,100,C
39,pgRNA_non-target,8,100,B
40,pgRNA_non-target,8,100,A
41,mnmA,6,55.91168091,E
42,mnmA,6,61.46723647,D
43,mnmA,6,66.45299145,C
44,mnmA,6,77.92022792,B
45,mnmA,6,100,A
,waaA,7,50.68085106,E
,waaA,7,58.29787234,D
,waaA,7,68.93617021,C
,waaA,7,79.14893617,B
,waaA,7,100,A
