#sgRNA,DMSO_B1,DMSO_B2,C109_B1,C109_B2
sgRNA1338,1500,15005,135,105
sgRNA1339,1803,1698,1542,1534
sgRNA1340,1610,1247,1561,1162
sgRNA1341,2618,2198,2093,1934
sgRNA1342,468,393,337,361
sgRNA1343,1629,1237,1470,1164
sgRNA1350,573,579,355,426
sgRNA1351,315,249,253,252
sgRNA1352,2758,2160,2360,2106
sgRNA1353,2426,1914,1896,1644
sgRNA1354,389,314,337,275
sgRNA1355,98,73,80,63
sgRNA1362,3327,2489,2841,2355
sgRNA1363,4087,3012,3411,2606
sgRNA1364,5,5,5,5
sgRNA1365,1811,1569,1342,1395
sgRNA1366,1262,911,1282,984
sgRNA1367,751,510,709,546
sgRNA1374,5,5,5,5
sgRNA1375,1057,839,971,755
sgRNA1376,2315,2007,2108,1923
sgRNA1377,2913,2256,2552,2336
sgRNA1378,2597,2334,2147,2453
sgRNA1384,25254,18302,8278,7779
sgRNA1385,836,706,727,723
sgRNA1388,422,361,365,319
sgRNA1389,705,532,549,601
sgRNA1390,350,311,260,329
sgRNA1391,444,348,353,339
sgRNA1396,680,529,645,572
sgRNA1397,586,468,553,520
sgRNA1398,16,14,19,15
sgRNA1399,3017,2131,2694,1956
sgRNA1404,807,621,747,682
sgRNA1405,653,484,539,512
sgRNA1406,243,195,216,196
sgRNA1407,318,367,361,416
sgRNA1408,697,582,653,532
sgRNA1410,897,805,808,776
sgRNA1411,1749,1159,1478,1034
sgRNA1412,395,369,355,314
sgRNA1413,3561,2891,3272,2967
sgRNA1414,6,6,6,5
sgRNA1415,212,179,195,182
sgRNA1416,317,256,225,222
sgRNA1417,345,275,337,290
sgRNA1418,422,306,359,331
sgRNA1419,263,233,221,205
sgRNA1420,124,102,107,85
sgRNA1421,3305,2960,2771,3049
sgRNA1422,21,20,28,21
sgRNA1423,550,498,404,448
sgRNA1424,741,520,605,533
sgRNA1425,516,392,453,341
sgRNA1431,336,217,305,196
sgRNA1432,873,634,769,607
sgRNA1433,5,5,5,5
sgRNA1434,581,477,565,434
sgRNA1435,1692,1602,1552,1466
sgRNA1436,139,101,124,96
sgRNA1437,6,6,5,5
sgRNA1438,6,5,5,6
sgRNA1439,657,528,571,492
sgRNA1440,1167,1030,1046,1001
sgRNA1441,2160,1606,1975,1544
sgRNA1442,1550,1247,1289,1171
sgRNA1443,56,36,5,6
sgRNA1444,1540,1227,1346,1185
sgRNA1445,40440,34801,580,540
sgRNA1446,514,459,431,444
sgRNA1447,583,442,536,491
sgRNA1448,963,839,817,823
sgRNA1449,1730,1422,1242,1267
sgRNA1450,475,322,417,325
sgRNA1451,2238,1937,2151,1768
sgRNA1452,1677,1348,1420,1195
sgRNA1453,429,422,397,387
sgRNA1454,2803,2163,2446,2167
sgRNA1455,633,511,569,491
sgRNA1456,601,521,503,488
sgRNA1457,1053,746,947,750
sgRNA1458,548,435,452,484
sgRNA1459,156,120,144,114
sgRNA1460,954,819,861,692
sgRNA1461,5,5,5,5
sgRNA1462,818,669,829,727
sgRNA1463,121,99,119,109
sgRNA1464,1131,905,872,816
sgRNA1465,1310,1043,963,1047
sgRNA1466,469,391,435,399
sgRNA1467,454,437,446,513
sgRNA1468,753,547,629,491
sgRNA1469,289,260,251,262
sgRNA1470,5,5,5,5
sgRNA1471,906,635,778,539
sgRNA1472,5,5,5,5
sgRNA1473,1477,1253,1213,1297
sgRNA1474,492,441,478,382
sgRNA1475,1035,861,1034,896
sgRNA1476,568,437,450,425
sgRNA1477,1862,1695,1578,1379
sgRNA1478,806,617,731,639
sgRNA1479,5,5,5,5
sgRNA1480,356,319,315,273
sgRNA1481,2463,2006,2068,1811
sgRNA1482,594,492,569,473
sgRNA1483,2040,1677,1704,1640
sgRNA1484,1624,1388,1299,1331
sgRNA1485,7,7,6,6
sgRNA1486,1331,1072,1113,980
sgRNA1487,2692,2167,2232,2169
sgRNA1488,4382,3712,3743,3617
sgRNA1506,437,367,376,302
sgRNA1507,1359,1164,1292,1185
sgRNA1508,1058,815,928,808
sgRNA1509,1547,1095,1304,918
sgRNA1510,7,6,8,7
sgRNA1511,439,416,398,482
sgRNA1512,5,5,5,5
sgRNA1513,6,5,5,6
sgRNA1514,1004,852,752,662
sgRNA1515,504,424,488,401
sgRNA1516,1101,897,984,845
sgRNA1517,2826,1949,2458,1795
sgRNA1518,643,488,524,458
sgRNA1519,222,184,159,153
sgRNA1520,791,671,623,588
sgRNA1521,336,223,299,220
sgRNA1522,749,646,592,591
sgRNA1523,728,666,557,541
sgRNA1524,1688,1413,1391,1278
sgRNA1525,5,5,5,5
sgRNA1526,375,305,342,322
sgRNA1527,838,753,656,631
sgRNA1528,111,86,85,58
sgRNA1529,161,131,104,94
sgRNA1530,1066,865,1038,871
sgRNA1531,5,5,5,5
sgRNA1532,403,375,285,372
sgRNA1533,485,394,435,331
sgRNA1534,805,734,641,613
sgRNA1535,354,248,260,230
sgRNA1536,288,234,243,236
sgRNA1537,312,312,287,289
sgRNA1538,266,219,226,202
sgRNA1539,446,327,402,307
sgRNA1555,749,619,677,595
sgRNA1556,309,304,286,298
sgRNA1557,1083,908,832,786
sgRNA1558,5,5,5,5
sgRNA1559,1305,1094,1096,985
sgRNA1560,604,614,662,539
sgRNA1561,1559,1268,1344,1111
sgRNA1562,903,638,811,561
sgRNA1563,861,761,661,764
sgRNA1564,341,251,287,194
sgRNA1565,266,178,14,67
sgRNA1566,9,6,9,7
sgRNA1567,374,336,295,279
sgRNA1568,513,409,443,412
sgRNA1569,117,102,105,99
sgRNA1570,920,791,726,826
sgRNA1571,833,716,616,715
sgRNA1572,523,381,425,456
sgRNA1573,485,300,441,328
sgRNA1574,175,134,146,147
