#sgRNA,DMSO_B1,DMSO_B2,Novo_B1,Novo_B2
sgRNA1338,5,5,5,5
sgRNA1339,1803,1698,879,1084
sgRNA1340,1610,1247,707,680
sgRNA1341,2618,2198,1017,1146
sgRNA1342,468,393,262,304
sgRNA1343,1629,1237,936,1019
sgRNA1350,573,579,13,11
sgRNA1351,315,249,10,8
sgRNA1352,2758,2160,15,14
sgRNA1353,2426,1914,15,13
sgRNA1354,389,314,11,8
sgRNA1355,98,73,9,7
sgRNA1362,3327,2489,2484,2430
sgRNA1363,4087,3012,2210,2245
sgRNA1364,5,5,5,5
sgRNA1365,1811,1569,953,1073
sgRNA1366,1262,911,1048,1042
sgRNA1367,751,510,532,501
sgRNA1374,5,5,5,5
sgRNA1375,1057,839,761,692
sgRNA1376,2315,2007,1459,1534
sgRNA1377,2913,2256,2156,2252
sgRNA1378,2597,2334,1643,2053
sgRNA1384,25254,18302,21668,20369
sgRNA1385,836,706,584,654
sgRNA1388,422,361,260,279
sgRNA1389,705,532,480,519
sgRNA1390,350,311,201,293
sgRNA1391,444,348,271,286
sgRNA1396,680,529,552,519
sgRNA1397,586,468,444,480
sgRNA1398,16,14,16,12
sgRNA1399,3017,2131,2388,2127
sgRNA1404,807,621,589,612
sgRNA1405,653,484,446,458
sgRNA1406,243,195,163,181
sgRNA1407,318,367,318,367
sgRNA1408,697,582,455,502
sgRNA1410,897,805,10,10
sgRNA1411,1749,1159,14,14
sgRNA1412,395,369,7,7
sgRNA1413,3561,2891,15,15
sgRNA1414,6,6,5,5
sgRNA1415,212,179,162,191
sgRNA1416,317,256,231,229
sgRNA1417,345,275,230,239
sgRNA1418,422,306,274,327
sgRNA1419,263,233,185,225
sgRNA1420,124,102,74,71
sgRNA1421,3305,2960,2315,2632
sgRNA1422,21,20,22,18
sgRNA1423,550,498,370,460
sgRNA1424,741,520,493,480
sgRNA1425,516,392,395,365
sgRNA1431,336,217,237,191
sgRNA1432,873,634,508,534
sgRNA1433,5,5,5,5
sgRNA1434,581,477,420,457
sgRNA1435,1692,1602,1192,1422
sgRNA1436,139,101,102,102
sgRNA1437,6,6,5,5
sgRNA1438,6,5,6,5
sgRNA1439,657,528,418,451
sgRNA1440,1167,1030,868,913
sgRNA1441,2160,1606,1559,1534
sgRNA1442,1550,1247,1086,1157
sgRNA1443,56,36,36,36
sgRNA1444,1540,1227,1077,1191
sgRNA1445,40440,34801,26213,29223
sgRNA1446,514,459,294,340
sgRNA1447,583,442,395,370
sgRNA1448,963,839,591,709
sgRNA1449,1730,1422,1227,1310
sgRNA1450,475,322,310,348
sgRNA1451,2238,1937,1572,1696
sgRNA1452,1677,1348,976,1030
sgRNA1453,429,422,353,328
sgRNA1454,2803,2163,1924,2047
sgRNA1455,633,511,423,423
sgRNA1456,601,521,363,460
sgRNA1457,1053,746,733,711
sgRNA1458,548,435,332,417
sgRNA1459,156,120,119,101
sgRNA1460,954,819,660,649
sgRNA1461,5,5,5,5
sgRNA1462,818,669,542,518
sgRNA1463,121,99,82,94
sgRNA1464,1131,905,770,817
sgRNA1465,1310,1043,668,837
sgRNA1466,469,391,351,377
