#sgRNA,DMSO_B1,DMSO_B2,PHAR_STL_B1,PHAR_STL_B2
sgRNA1338,5,5,5,5
sgRNA1339,1803,1698,1662,1261
sgRNA1340,1610,1247,1463,1004
sgRNA1341,2618,2198,2296,1703
sgRNA1342,468,393,382,306
sgRNA1343,1629,1237,1563,1086
sgRNA1350,573,579,521,427
sgRNA1351,315,249,279,200
sgRNA1352,2758,2160,2515,1869
sgRNA1353,2426,1914,2241,1529
sgRNA1354,389,314,335,253
sgRNA1355,98,73,107,58
sgRNA1362,3327,2489,3079,2011
sgRNA1363,4087,3012,3437,2204
sgRNA1364,5,5,5,5
sgRNA1365,1811,1569,1522,1181
sgRNA1366,1262,911,1288,862
sgRNA1367,751,510,704,460
sgRNA1374,5,5,5,5
sgRNA1375,1057,839,1035,685
sgRNA1376,2315,2007,2116,1507
sgRNA1377,2913,2256,2564,1959
sgRNA1378,2597,2334,2149,1851
sgRNA1384,25254,18302,23776,14726
sgRNA1385,836,706,743,511
sgRNA1388,422,361,381,259
sgRNA1389,705,532,678,447
sgRNA1390,350,311,314,274
sgRNA1391,444,348,387,287
sgRNA1396,680,529,694,449
sgRNA1397,586,468,524,400
sgRNA1398,16,14,23,9
sgRNA1399,3017,2131,2750,1629
sgRNA1404,807,621,759,567
sgRNA1405,653,484,569,404
sgRNA1406,243,195,234,150
sgRNA1407,318,367,361,416
sgRNA1408,697,582,647,407
sgRNA1410,897,805,860,590
sgRNA1411,1749,1159,1486,897
sgRNA1412,395,369,328,293
sgRNA1413,3561,2891,3547,2470
sgRNA1414,6,6,5,5
sgRNA1415,212,179,199,152
sgRNA1416,317,256,271,221
sgRNA1417,345,275,308,233
sgRNA1418,422,306,355,262
sgRNA1419,263,233,252,160
sgRNA1420,124,102,103,81
sgRNA1421,3305,2960,2970,2483
sgRNA1422,21,20,28,19
sgRNA1423,550,498,510,329
sgRNA1424,741,520,618,454
sgRNA1425,516,392,487,358
sgRNA1431,336,217,302,184
sgRNA1432,873,634,712,529
sgRNA1433,5,5,5,5
sgRNA1434,581,477,526,384
sgRNA1435,1692,1602,1636,1291
sgRNA1436,139,101,124,95
sgRNA1437,6,6,5,5
sgRNA1438,6,5,5,6
sgRNA1439,657,528,575,411
sgRNA1440,1167,1030,1059,738
sgRNA1441,2160,1606,1909,1290
sgRNA1442,1550,1247,1392,1012
sgRNA1443,56,36,49,24
sgRNA1444,1540,1227,1392,970
sgRNA1445,40440,34801,35571,26801
sgRNA1446,514,459,558,360
sgRNA1447,583,442,516,348
sgRNA1448,963,839,849,650
sgRNA1449,1730,1422,1547,1213
sgRNA1450,475,322,427,275
sgRNA1451,2238,1937,2191,1499
sgRNA1452,1677,1348,1458,1032
sgRNA1453,429,422,405,355
sgRNA1454,2803,2163,2639,1767
sgRNA1455,633,511,563,395
sgRNA1456,601,521,546,435
sgRNA1457,1053,746,987,689
sgRNA1458,548,435,487,334
sgRNA1459,156,120,123,100
sgRNA1460,954,819,899,660
sgRNA1461,5,5,5,5
sgRNA1462,818,669,795,512
sgRNA1463,121,99,119,83
sgRNA1464,1131,905,948,713
sgRNA1465,1310,1043,1058,904
sgRNA1466,469,391,512,333
sgRNA1467,454,437,428,387
sgRNA1468,753,547,656,472
sgRNA1469,289,260,233,254
sgRNA1470,5,5,5,6
sgRNA1471,906,635,748,475
sgRNA1472,5,5,5,5
sgRNA1473,1477,1253,1385,1022
sgRNA1474,492,441,459,326
sgRNA1475,1035,861,1009,679
sgRNA1476,568,437,533,435
sgRNA1477,1862,1695,1580,1297
sgRNA1478,806,617,834,545
sgRNA1479,5,5,5,5
sgRNA1480,356,319,345,244
sgRNA1481,2463,2006,2283,1490
sgRNA1482,594,492,613,441
sgRNA1483,2040,1677,1752,1232
sgRNA1484,1624,1388,1393,1134
sgRNA1485,7,7,7,6
sgRNA1486,1331,1072,1121,830
sgRNA1487,2692,2167,2218,1682
sgRNA1488,4382,3712,3853,2886
sgRNA1506,437,367,376,274
sgRNA1507,1359,1164,1311,1092
sgRNA1508,1058,815,897,676
