Stock ID,C109-0R-R1,C109-0R-R2,C109-01R-R1,C109-01R-R2
156,0.002863676,0.002963508,0.003049921,0.002556225
182,0.019474076,0.018482929,0.020198533,0.019609726
643,0.013822226,0.015296601,0.012688822,0.013555193
88,0.011400774,0.012266248,0.01125018,0.012781125
645,0.013568755,0.012851151,0.013187551,0.013771212
651,0.014674318,0.015814658,0.015144104,0.014425269
39,0.014836107,0.014683846,0.014952285,0.014221251
200,0.016254463,0.015157339,0.014981058,0.017371529
647,0.013816833,0.01317981,0.013475279,0.013819216
41,0.01298092,0.012076851,0.013772599,0.012979142
640,0.012177365,0.011976582,0.012353139,0.011118978
90,0.010095672,0.010383418,0.011672181,0.009762859
653,0.010052528,0.008489447,0.010252721,0.010350911
376,0.008968537,0.00896851,0.008248214,0.008460745
47,0.007205031,0.007631589,0.006521843,0.006672587
110,0.009356832,0.008511729,0.007950894,0.009480834
1065,0.009513229,0.00930274,0.007989258,0.01000288
53,0.009373011,0.010595097,0.008957944,0.010722944
57,0.008520919,0.00841146,0.008363305,0.008700766
332,0.007922298,0.007492327,0.008363305,0.008214723
335,0.007296711,0.007910114,0.00719321,0.007902695
283,0.009901524,0.009024215,0.01044454,0.010152893
326,0.007329069,0.007470045,0.007624802,0.007686676
350,0.006822129,0.006935276,0.006646526,0.006648585
45,0.008159589,0.00763716,0.008181077,0.008886782
108,0.00846699,0.007592596,0.007212392,0.008532751
271,0.006660339,0.007074539,0.008229032,0.007080623
644,0.007253567,0.00664561,0.006243706,0.008010705
EDC25,0.005004692,0.004829626,0.005159929,0.00534047
365,0.006466191,0.005876881,0.006780799,0.006660586
636,0.005781282,0.006172117,0.006051887,0.005238461
649,0.007037848,0.007581455,0.007768666,0.006864604
EDC27,0.006773592,0.006372656,0.005927205,0.006384562
642,0.00467572,0.004400697,0.004498154,0.005070446
692,0.006072503,0.005492516,0.00567784,0.005862516
1050,0.006234293,0.006172117,0.006646526,0.005694501
281,0.006525514,0.006055137,0.006349206,0.00693661
562,0.005279734,0.00542567,0.005294202,0.006090536
55,0.006374511,0.007169237,0.006128615,0.00500444
434,0.006288223,0.00642279,0.006799981,0.005874517
112,0.006196542,0.006929706,0.006339615,0.006396563
440,0.004837509,0.004796203,0.005361339,0.005604493
427,0.004255067,0.004105461,0.004277562,0.004464393
275,0.004330569,0.004796203,0.004085743,0.005484483
345,0.006299009,0.006283527,0.005888841,0.007170631
186,0.0062289,0.006433931,0.006550616,0.005616494
580,0.006924595,0.006277957,0.00598475,0.007176632
364,0.006417654,0.005832317,0.00658898,0.006966613
351,0.005134124,0.005654061,0.004709155,0.005190457
356,0.004179565,0.004623518,0.004603654,0.004020354
61,0.006034752,0.005804464,0.006138206,0.005814512
84,0.003580943,0.003715526,0.002752602,0.002946259
652,0.004643362,0.004968889,0.005044838,0.003318292
504,0.004028561,0.004060897,0.003711696,0.004044356
279,0.00362948,0.003592974,0.00385556,0.003840338
358,0.00426046,0.003932775,0.004162471,0.004164366
367,0.003839807,0.003865929,0.004085743,0.0045484
628,0.00357555,0.003514987,0.00354865,0.004296378
673,0.003187255,0.00276854,0.003001966,0.003156278
EDC1685,0.00393688,0.003860359,0.00365415,0.004422389
273,0.004298211,0.004863049,0.004546108,0.004620407
EDC34,0.004093277,0.004278146,0.003845969,0.00329429
559,0.003942273,0.003659821,0.004325517,0.004398387
EDC2,0.003829021,0.003503846,0.004133698,0.003630319
506,0.004298211,0.004629088,0.004498154,0.004254374
333,0.003510835,0.004150025,0.003922697,0.003774332
1077,0.003127932,0.003269885,0.003069103,0.002646233
563,0.003618694,0.003331161,0.004009015,0.003396299
343,0.003122539,0.003498276,0.003251331,0.002736241
420,0.004384498,0.004250294,0.003452741,0.00386434
347,0.003726554,0.003225321,0.003280104,0.003918345
EDC4,0.002976929,0.003063777,0.003069103,0.002514221
502,0.003624087,0.003136193,0.003318467,0.003768332
426,0.003467691,0.00343143,0.003529468,0.003450304
655,0.00310636,0.003481564,0.003471923,0.003378297
656,0.002949964,0.002568002,0.002349782,0.002790246
564,0.003742733,0.003615256,0.003587014,0.003372297
1046,0.002890641,0.003063777,0.003136239,0.002970261
