Stock ID,Novobiocin-0R-R1,Novobiocin-0R-R2,Novobiocin-01R-R1,Novobiocin-01R-R2
156,0.033,0.033498949,0.021833667,0.02864906
182,0.016509539,0.016685054,0.000172914,0.000169446
643,0.012995353,0.01358479,0.013871863,0.014093128
88,0.012513713,0.01205479,1.17E-05,1.23E-05
645,0.012540471,0.012256106,0.013046003,0.013003299
651,0.012094508,0.012143369,0.012620169,0.01280922
39,0.014333241,0.015581843,0.015626815,0.014750011
200,0.013396719,0.012586264,0.01329118,0.012316558
647,0.011514757,0.012529895,0.012826634,0.012734574
41,0.01279021,0.012626527,0.013523453,0.011659675
640,0.011024198,0.010436211,0.011058778,0.011107296
90,0.009222509,0.009936948,0.010542616,0.01015183
653,0.009106558,0.008865948,0.008942512,0.007628801
376,0.009079801,0.010202685,0.009290922,0.010375767
47,0.007795428,0.009856422,0.010129686,0.010121971
110,0.008170037,0.007335948,0.007264985,0.00765866
1065,0.007313788,0.006442106,0.006619782,0.006971918
53,0.008054086,0.007038,0.007665011,0.006270248
57,0.006511055,0.008060685,0.007148848,0.007763164
332,0.007857863,0.008519685,0.007252081,0.007524297
335,0.008437614,0.008519685,0.008374734,0.008300614
283,0.007099726,0.006828632,0.007961804,0.00712121
326,0.008178956,0.007150737,0.007639203,0.007255572
350,0.006582409,0.007013842,0.006761727,0.007255572
45,0.00657349,0.006723948,0.006787535,0.006419539
108,0.007072968,0.005918685,0.006761727,0.006479256
271,0.006172124,0.006538737,0.007006904,0.006643477
644,0.006395105,0.005733474,0.005613265,0.006285177
EDC25,0.005476422,0.005580474,0.005174527,0.004851977
365,0.005333714,0.004944316,0.006400413,0.005717869
636,0.004887751,0.006144158,0.006852055,0.006568831
649,0.005565614,0.006957474,0.007419834,0.006643477
EDC27,0.004468546,0.00471079,0.00527776,0.00444889
642,0.004227726,0.005113421,0.00486483,0.005210277
692,0.005280198,0.004573895,0.005071295,0.005837302
1050,0.006243478,0.006361579,0.006400413,0.006688264
281,0.005003701,0.003768632,0.004748693,0.004911694
562,0.004941267,0.005073158,0.005239048,0.005882089
55,0.006511055,0.007738579,0.007806955,0.007419793
434,0.00466477,0.005266421,0.005651978,0.005628294
112,0.00550318,0.005596579,0.005961675,0.005598435
440,0.00466477,0.004831579,0.004464804,0.004941552
427,0.004325838,0.004783263,0.00521324,0.004583252
275,0.004200969,0.004284,0.004013162,0.003657644
345,0.005824273,0.005258369,0.005897155,0.006106027
186,0.00561913,0.006482369,0.006658494,0.00570294
580,0.004789639,0.004517527,0.004697077,0.004777332
364,0.005173167,0.005105369,0.005948771,0.004762402
351,0.004602335,0.005459684,0.005084199,0.005359569
356,0.005191006,0.006442106,0.004851926,0.005807444
61,0.005012621,0.005926737,0.006077811,0.00622546
84,0.002684695,0.00241579,0.001561391,0.001985578
652,0.005672646,0.00685279,0.006916575,0.006792768
504,0.00418313,0.004114895,0.004361572,0.003672574
279,0.003924472,0.003148579,0.003226015,0.003433707
358,0.004869913,0.004292053,0.004477708,0.00426974
367,0.003969068,0.003317684,0.003574424,0.003314274
628,0.003264447,0.002681526,0.003458288,0.00356807
673,0.003496348,0.003680053,0.003135686,0.003478495
EDC1685,0.003264447,0.002947263,0.003251823,0.003299345
273,0.005048298,0.005032895,0.004051874,0.004463819
EDC34,0.003737167,0.005008737,0.004116395,0.004672827
559,0.003870956,0.004171263,0.003600232,0.003881582
EDC2,0.004111776,0.004163211,0.00438738,0.004120448
506,0.003139577,0.003011684,0.002632428,0.003239628
333,0.003549863,0.004171263,0.004361572,0.003672574
1077,0.003309043,0.004050474,0.003122782,0.003821865
563,0.003460671,0.003744474,0.004180915,0.003777078
343,0.002952273,0.004235684,0.003484096,0.003702432
420,0.003282285,0.003132474,0.002696948,0.003000761
347,0.003148497,0.002601,0.003187302,0.002702178
EDC4,0.002791726,0.003567316,0.004258339,0.004224953
502,0.002800646,0.002689579,0.003032454,0.00303062
426,0.003086062,0.003414316,0.003096974,0.003239628
655,0.003094981,0.002786211,0.003187302,0.002806682
656,0.003059304,0.003108316,0.002696948,0.002941045
564,0.002854161,0.002786211,0.002813085,0.00267232
1046,0.002863081,0.003003632,0.003200206,0.002776824
672,0.003282285,0.003172737,0.003200206,0.003344132
206,0.002363602,0.002665421,0.002284018,0.002463312
EDC35,0.003023627,0.003349895,0.003458288,0.00320977
339,0.003130658,0.003341842,0.003380863,0.002985832
544,0.002131702,0.001892369,0.002038841,0.002612603
794,0.003184174,0.003470684,0.003238919,0.002941045
104,0.002872,0.002971421,0.002696948,0.002702178
419,0.002782807,0.003051948,0.002890509,0.002881328
505,0.003478509,0.004203474,0.003793793,0.003792007
588,0.002827404,0.003068053,0.003406671,0.003359061
668,0.002434956,0.002754,0.002464675,0.002612603
938,0.002399279,0.002520474,0.002400155,0.002926116
1031,0.002220894,0.002423842,0.00232273,0.002269232
781,0.002533068,0.003011684,0.002838893,0.002866399
697,0.002675776,0.002464105,0.002361443,0.002433453
106,0.00239036,0.002850632,0.002980837,0.003090336
331,0.002479553,0.002125895,0.002645332,0.002284162
1036,0.002372522,0.002649316,0.002864701,0.003329203
421,0.002211975,0.001763526,0.001561391,0.001657137
819,0.003335801,0.00287479,0.002955029,0.002373737
424,0.002381441,0.002456053,0.002555004,0.002612603
