#sgRNA,Time,Rep1,Rep1,Avg1,Avg,SD,Condition,Strain,Other Name,sgRNA,ss,,sgRNA_#,Gene,Product,Locus Tag,EG,K56-2_Locus_Tag,Stock,Stock2,Leg,Leg2,Legend,Pathway,COG,COD ID
1958,0,0.00925,0.00825,0.00875,0.00875,0.000707107,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1959,1,0.00925,0.00925,0.00875,0.00875,0,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1960,2,0.01325,0.01325,0.01325,0.01325,0,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1961,3,0.02025,0.02125,0.02075,0.02075,0.000707107,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1962,4,0.03725,0.03825,0.04775,0.04775,0.000707107,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1963,5,0.07825,0.08025,0.07925,0.07925,0.001414214,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1964,6,0.16825,0.17125,0.16975,0.16975,0.00212132,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1965,7,0.35725,0.36425,0.36075,0.36075,0.004949747,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1966,8,0.62625,0.64425,0.51525,0.63525,0.012727922,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1967,9,0.84625,0.87225,0.73925,0.85925,0.018384776,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1968,10,0.98725,1.01425,0.96075,1.00075,0.019091883,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1969,11,1.08325,1.10825,1.05575,1.09575,0.01767767,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1970,12,1.15225,1.17925,1.12575,1.16575,0.019091883,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
