sgRNA_org,Dep_avg,Eq_avg,Exp_rel_ab,Rel_Abundance
1847,6.380851578,5.159879014,1.236628138,
1831,5.533893194,3.783018915,1.462824617,
1866,4.88930474,3.830672624,1.276356719,
1374,3.353090451,3.71766488,0.901934563,0.5X
1850,3.487208706,2.919863404,1.194305426,
1835,2.879198594,2.897535023,0.993671714,
1851,2.450538073,2.905214209,0.843496519,
1852,3.26117426,2.89345369,1.127087077,
1849,3.066640061,2.674332022,1.146693842,
1845,2.657025402,2.587314126,1.026943491,
1846,2.982450324,2.067696546,1.442402334,
1848,3.267419412,2.252455905,1.450603053,
1870,3.040054956,3.178053566,0.956577632,
1470,2.44823863,2.639385636,0.927578978,
1828,2.185020667,2.370753729,0.921656535,
1853,2.630403901,1.963318028,1.33977474,
1857,2.472571462,2.110065816,1.171798265,
1854,1.914403422,2.109639755,0.907455132,
1834,2.066222042,1.634042064,1.264485222,
1838,2.213233937,2.088640874,1.059652698,
1863,1.565706103,1.974086161,0.793129567,
1436,1.427184941,1.714852388,0.832249441,
1445,1.973804193,1.298338192,1.520254279,
1860,1.874579669,1.908213696,0.982374077,
1839,1.678506965,2.032940537,0.825654727,
1867,2.067130764,1.844403395,1.12075849,
1836,1.440592525,1.832539412,0.786118168,
1856,1.91651179,1.584718689,1.209370347,
1871,1.88635938,2.111694522,0.89329179,
1842,1.756416484,1.628379828,1.07862825,
1837,1.452518827,1.19883451,1.21160912,
1855,1.650269359,1.374429755,1.200693854,
1431,0.973369086,1.643330817,0.592314752,
1986,1.585779343,1.567380905,1.011738332,
1858,1.05631886,1.440951575,0.733070339,
1861,1.194474172,1.682307221,0.710021426,
1862,1.044976123,1.584461647,0.659514937,
1864,1.23131436,1.709087982,0.720451125,
1873,1.239801796,1.710599724,0.7247761,
1859,1.041772685,1.783619075,0.584078013,
1843,1.039476171,1.555445819,0.668281826,
1840,1.200805892,0.966785832,1.242059878,
1841,0.877546514,1.322418715,0.663592026,
1865,1.054406047,0.618460996,1.704886895,
1844,0.778001588,1.280794498,0.607436704,
1418,0.29277336,1.805058534,0.162196048,0.1X
1350,0.260235502,0.468976446,0.554901006,0.5X
1362,0.127627324,1.409317983,0.090559636,0.01X
