sgRNA_ID,E_Prop_Avg,D_Prop_Avg,For_label_Calc
1362,1.681757126,0.012,0.01X
1920,1.647248443,1.983948,1X
2017,1.404490384,1.609739581,1X
1833,1.436267368,1.502183533,1X
1912,1.067328731,1.29740894,1X
1886,1.551643439,1.510868639,1X
1831,1.373280718,1.335876874,1X
2045,1.139612374,0.349,0.3X
2040,1.189586341,1.163350081,1X
1829,1.279983243,1.201398351,1X
1374,1.00921355,0.397649198,0.3X
1350,1.111918318,0.453,0.4X
1847,1.033287306,1.066419963,1X
1871,1.161039357,1.071390754,1X
2004,1.116984526,0.963562593,1X
2046,0.850322609,1.179233284,1X
1937,1.088962537,1.048279016,1X
1894,1.072715702,1.076073852,1X
1913,0.80712507,1.161377462,1X
1919,0.933931585,0.990028317,1X
1896,1.06912056,1.001854238,1X
1832,0.968491238,0.982288217,1X
1999,0.958477711,1.006167863,1X
2041,1.038706163,0.945030297,1X
2014,0.965972706,1.000310489,1X
1418,0.894206387,0.509,0.5X
1940,0.797384156,0.978715571,1X
2011,0.963906543,0.937106864,1X
1870,0.984576384,0.905534901,1X
1938,0.884422125,0.867685087,1X
1837,0.900531158,0.949785795,1X
1866,0.895837054,0.885061396,1X
1867,0.908923807,0.837822319,1X
1936,0.895149182,0.816396286,1X
2026,0.865260891,0.69311742,1X
1903,0.849134742,0.88778619,1X
1898,0.917820112,0.842660152,1X
1842,0.842434334,0.802021439,1X
2005,0.666929277,0.767693541,1X
1840,0.884458242,0.857660184,1X
1911,0.867152906,0.84119361,1X
1856,0.862024663,0.835454675,1X
1916,0.71344132,0.756776918,1X
1828,0.726915047,0.785496899,1X
1869,0.798403728,0.796324264,1X
1436,0.690116937,0.83613005,1X
1914,0.725021228,0.778440583,1X
2013,0.807750484,0.783358114,1X
1884,0.83463086,0.822471026,1X
2021,0.771823389,0.781222296,1X
1873,0.769652534,0.779587945,1X
1917,0.788480513,0.745089786,1X
2015,0.821455913,0.784162685,1X
2039,0.749277246,0.739021332,1X
1879,0.800589852,0.709152018,1X
2021,0.76436032,0.781222296,1X
1900,0.75640147,0.811754773,1X
1857,0.819987594,0.682614005,1X
1957,0.751187831,0.749590473,1X
2031,0.755541185,0.768737785,1X
2016,0.669319639,0.698569885,1X
1835,0.724778555,0.763766453,1X
1834,0.730094694,0.71253302,1X
1905,0.74389702,0.714345815,1X
1445,0.715321729,0.69573463,1X
1944,0.786543339,0.705831253,1X
1935,0.771670769,0.74081662,1X
1923,0.747151775,0.693532903,1X
1435,0.755263878,0.718486092,1X
2035,0.736256447,0.705344729,1X
1890,0.788635416,0.717403545,1X
1921,0.700354812,0.703885312,1X
1934,0.665780321,0.739659325,1X
1933,0.693468599,0.699324125,1X
1946,0.664860127,0.715493731,1X
1932,0.66864843,0.669642814,1X
1908,0.630374627,0.711115927,1X
1858,0.50339418,0.658283967,1X
1902,0.57862412,0.661854044,1X
2044,0.600032024,0.542583525,1X
1839,0.628079722,0.674580897,1X
2036,0.50784951,0.626868885,1X
1836,0.580057279,0.69116294,1X
1875,0.660344442,0.630286525,1X
1877,0.598921361,0.640676416,1X
2030,0.653991443,0.733599468,1X
1844,0.557800833,0.70116109,1X
1993,0.607129968,0.672913208,1X
1457,0.592680781,0.591326134,1X
1910,0.558183658,0.651495762,1X
1891,0.618237147,0.585677954,1X
2034,0.645911781,0.643463751,1X
1998,0.610668984,0.670836683,1X
1843,0.54015522,0.58738708,1X
1931,0.535089339,0.603880646,1X
1929,0.573892852,0.575574354,1X
1860,0.598324071,0.619454857,1X
2038,0.50489806,0.551061751,1X
2006,0.574701465,0.646048532,1X
1846,0.551995315,0.492556702,1X
1881,0.574581402,0.554118509,1X
1997,0.553222187,0.598948688,1X
1880,0.5376589,0.556145463,1X
2043,0.433617954,0.578390088,1X
2021,0.70380285,0.781222296,1X
1968,0.456148658,0.472989854,1X
1901,0.380680845,0.443672426,1X
1865,0.49823903,0.454456949,1X
2018,0.413164435,0.546427716,1X
1906,0.459848158,0.517494824,1X
1922,0.503488415,0.483256167,1X
1859,0.455874511,0.494613586,1X
1883,0.485302449,0.436933221,1X
1431,0.285860289,0.414044587,1X
1850,0.462320157,0.459185458,1X
2029,0.404140533,0.496000286,1X
1838,0.456355832,0.395155832,1X
1872,0.348631786,0.451279803,1X
1897,0.341977854,0.463136617,1X
1851,0.374523454,0.478241915,1X
1853,0.40762937,0.404419741,1X
1845,0.39379773,0.39989266,1X
1904,0.328888087,0.43260219,1X
2012,0.364967493,0.39528325,1X
2037,0.362313281,0.437577466,1X
1854,0.377917382,0.416584037,1X
1909,0.34244065,0.401385629,1X
1878,0.339375705,0.393176436,1X
2032,0.362481255,0.367334024,1X
1864,0.328068677,0.361407702,1X
1470,0.298806409,0.389260713,1X
1841,0.300357975,0.358712354,1X
1863,0.296894105,0.344238425,1X
2028,0.337632386,0.391626495,1X
1947,0.252300713,0.341130352,1X
1885,0.353229875,0.402837651,1X
2003,0.300707227,0.446060342,1X
1889,0.212778511,0.320406731,1X
1876,0.203929017,0.213905181,1X
1848,0.209991266,0.190855499,1X
1849,0.194047565,0.207993462,1X
1862,0.145382327,0.19605596,1X
1928,0.084099472,0.15136349,1X
2023,0.092643061,0.17028178,1X
2033,0.064888857,0.109458097,1X
1989,0.016688103,0.015898651,1X
2007,0.013580712,0.016357118,1X
2022,0.013432589,0.018862273,1X
1930,0.01,0.017360943,1X
