sgRNA_org,ERA,TRA,Rep,Rel_Abundance
1847,0.936628138,1,,1X
1831,1.12824617,1,,1X
1866,0.976356719,1,,1X
1374,0.509,0.5,0.509,0.5X
1850,1.01,1,,1X
1835,1.01,1,,1X
1851,1.01,1,,1X
1852,1.01,1,,1X
1849,1.01,1,,1X
1845,1.01,1,,1X
1846,1.12402334,1,,1X
1848,1.10603053,1,,1X
1870,1.02,1,,1X
1470,1.02,1,,1X
1828,1.02,1,,1X
1853,1.02,1,,1X
1857,1.02,1,,1X
1854,1.02,1,,1X
1834,1.02,1,,1X
1838,1.02,1,,1X
1863,0.394,0.3,0.394,0.3X
1436,0.349,0.3,0.349,0.3X
1445,1.12,1,,1X
1860,1.021,1,,1X
1839,1.021,1,,1X
1867,1.021,1,,1X
1836,1.021,1,,1X
1856,1.021,1,,1X
1871,1.021,1,,1X
1842,1.021,1,,1X
1837,1.021,1,,1X
1855,0.95,1,,1X
1431,0.95,1,,1X
1986,0.95,1,,1X
1858,0.95,1,,1X
1861,0.95,1,,1X
1862,0.95,1,,1X
1864,0.95,1,,1X
1873,0.95,1,,1X
1859,0.95,1,,1X
1843,0.95,1,,1X
1840,0.95,1,,1X
1841,0.95,1,,1X
1865,1,1,,1X
1844,1,1,,1X
1418,1,1,,1X
1350,0.453,0.4,0.453,0.4X
1362,0.012,0.01,0.012,0.01X
