sgRNA,E1,E3
1870,3.054361382,3.301745751
1866,3.657695808,4.003649439
1831,3.757894059,3.80814377
1857,2.032768199,2.187363434
1848,2.176477618,2.328434191
1847,5.114707081,5.205050946
1867,1.771701195,1.917105596
1838,2.023269282,2.154012466
1853,1.859642779,2.066993276
1871,2.079343533,2.144045511
1850,2.891041296,2.948685512
1852,2.884606546,2.902300833
1856,1.516456107,1.65298127
1849,2.707804126,2.640859918
1846,2.055749449,2.079643643
1834,1.638103526,1.629980603
1842,1.611445276,1.645314381
1374,3.652486724,3.782843036
1860,1.901621863,1.914805529
1986,1.541582274,1.593179536
1418,1.804181362,1.805935705
1840,0.928442515,1.005129149
1835,2.93302038,2.862049666
1445,1.296755354,1.299921031
1845,2.704739959,2.469888293
1839,2.024188532,2.041692542
1855,1.392970189,1.355889321
1854,2.1338857,2.08539381
1865,0.608237093,0.628684899
1873,1.719916777,1.701282671
1828,2.454091122,2.287416335
1859,1.738301778,1.828936372
1350,0.470656007,0.467296885
1843,1.572530358,1.538361279
1828,2.454091122,2.287416335
1864,1.759444528,1.658731437
1837,1.176333602,1.221335419
1362,1.383777689,1.434858278
1841,1.372133855,1.272703575
1836,1.815825195,1.849253628
1844,1.355587355,1.206001641
1851,2.903910796,2.906517622
1861,1.723900194,1.640714247
1863,2.050233949,1.897938374
1856,1.516456107,1.65298127
1862,1.671196526,1.497726767
1858,1.547097774,1.334805376
