sgRNA,D1,D4
1847,5.969645467,6.584836293
1831,4.828372196,5.152959614
1866,4.231923883,4.197755704
1374,3.270141051,3.402371904
1850,3.359092064,3.278790075
1835,2.832930936,3.109987828
1851,3.155378359,3.108129454
1852,3.245123578,3.107509997
1849,3.129963784,2.976804403
1845,2.950076244,2.96658335
1846,2.759864032,2.907115402
1848,2.775748142,2.799020018
1870,2.46958193,2.791276795
1470,2.68997395,2.701455416
1828,2.68997395,2.659642015
1853,2.160238897,2.235932888
1857,1.961687528,2.042971787
1854,2.122514137,2.042352329
1834,1.900533706,1.972663328
1838,1.896562679,1.872930624
1863,2.126882267,1.867045775
1436,1.802846432,1.866116588
1445,1.85764661,1.753375271
1860,1.847719042,1.750897439
1839,1.808802974,1.745322319
1867,1.709130186,1.741295844
1836,1.787756528,1.679659794
1856,1.712704111,1.670987385
1871,1.595558803,1.647757718
1842,1.611442913,1.620501575
1837,1.499062838,1.550193116
1855,1.60389796,1.518910498
1431,1.680935892,1.491654355
1986,1.451013406,1.475548452
1858,1.5951617,1.460991194
1861,1.43274668,1.429089118
1862,1.39065379,1.411124842
1864,1.433143783,1.40895674
1873,1.337839126,1.277941418
1859,1.122212339,1.139802331
1843,1.150803736,1.08405113
1840,1.092826736,1.042547458
1841,1.116255798,1.0140524
1865,0.928426202,0.922682376
1844,0.91214499,0.870957651
1418,0.310137239,0.277826818
1350,0.241835568,0.235703689
1362,0.146133808,0.130705593
