sgRNA_Manual,10x5x3xpool_Dep,10x5x3xWOR_Dep,10x5x3xWR_Dep,20x10x5xpool_Dep,20x10x5xWOR_Dep,20x10x5xWR_Dep,Spike-in_IC55_Depletion,Spike-in_IC55_Dep_Cond,1X_Depletion,Condition_1X_IC30_Dep
1377,49.70629673,-43.33261441,-53.0955341,54.90725331,-39.99028442,-143.3311943,-38.01038808,5x3x2xWOR_Dep,86.51838402,ON_0R
1378,58.14951433,-21.63114554,-27.49429042,64.22346841,-32.11521729,-91.29818597,43.39491101,5x3x2xpool_Dep,89.94148788,ON_0R
1376,49.99133952,-34.168233,-39.85572675,57.46065314,-34.13598064,-100.882608,33.87648614,5x3x2xpool_Dep,74.58382878,ON_0R
1488,50.91284992,-112.1291611,-106.3726566,25.48021034,-113.1618041,-99.6403051,36.65108043,5x3x2xpool_Dep,70,#N/A
1511,61.42035136,28.06763767,25.03394293,67.30949287,19.60200649,-31.93852673,49.44792545,5x3x2xpool_Dep,71.77177177,ON_0R
1487,55.69260805,-97.32285151,-97.2104371,58.26676789,-70.74341976,-183.9046446,37.58045708,5x3x2xpool_Dep,70,#N/A
1510,66.73150378,-13.36724619,-14.15913562,72.45383512,-23.80518728,-70.70335101,3.658558,5x3x2xWOR_Dep,79.0201005,ON_0R
1467,61.77267573,51.79221897,52.73669251,68.64044206,45.31074754,72.71871331,46.04079226,5x3x2xpool_Dep,99.50331126,ON_0R
1669,51.7651823,-15.67061805,-22.56373878,63.70896065,-27.12507193,-117.1993061,39.9653303,5x3x2xpool_Dep,51.03857567,ON_01R
1867,61.46557966,98.06945575,98.35350605,68.75704906,98.10090747,95.84157295,53.650343,5x3x2xpool_Dep,71.49446494,ON_0R
1595,45.73590157,-14.68601892,-15.27491512,57.5675644,-21.28890254,-93.36237931,33.21327089,5x3x2xpool_Dep,81.41674333,ON_01R
1654,29.65056982,96.67231451,96.08977428,57.20987315,96.35353209,93.17199186,32.1263306,5x3x2xpool_Dep,34.35334873,ON_05R
1561,36.32918634,-17.29486257,-22.70279081,46.38685023,-15.68145718,-131.8605309,13.99638352,5x3x2xpool_Dep,35.6712717,ON_05R
1465,10.27354433,14.45257774,12.17865197,32.22207527,14.9214824,79.87447853,24.04066623,5x3x2xpool_Dep,60,ON_0R
1617,16.80315301,-27.13779666,-27.71048501,-8.628932985,-29.76065553,19.00676268,38.90374067,5x3x2xpool_Dep,97.67047861,ON_0R
1590,53.65899695,15.97652167,22.69844289,63.62079667,16.92055522,-34.56897847,39.00945388,5x3x2xpool_Dep,84.88142292,ON_0R
1421,-95.70960406,-48.22562034,-56.44875976,-151.8531795,-50.55515242,88.61277544,-81.32085108,5x3x2xpool_Dep,99.14244879,ON_0R
1527,56.1538734,21.6582742,26.33316466,65.6738658,6.964928413,-6.159075634,41.42519655,5x3x2xpool_Dep,80.86500655,ON_0R
1785,56.33607292,24.64764717,24.44192201,63.38160041,24.0686412,85.35656196,46.23200865,5x3x2xpool_Dep,95.36971415,ON_0R
1483,47.03964587,-124.2053186,-113.1801925,53.80521167,-87.09135074,-298.1371746,28.94420761,5x3x2xpool_Dep,51.8723143,ON_0R
1935,56.20593447,-5.191419211,-11.53072583,60.84729953,2.366308672,-71.58182186,42.44863101,5x3x2xpool_Dep,67.2655218,ON_0R
1484,47.77212501,-106.6403993,-108.8257354,53.52653429,-85.78900832,-55.92499688,31.1347358,5x3x2xpool_Dep,92.88629738,ON_0R
1871,55.81524708,12.20759274,12.77941594,62.32833098,18.82998212,-15.62071153,38.8114005,5x3x2xpool_Dep,65.66579634,ON_01R
1856,62.32074687,37.44507111,30.72109242,62.71896397,43.06865975,13.10210982,46.3376735,5x3x2xpool_Dep,39.82125124,ON_05R
1831,63.57118107,49.12915704,47.78140695,67.66430635,47.39572965,18.59737817,49.45077101,5x3x2xpool_Dep,69.75222066,ON_0R
1479,49.94254988,-46.6141352,-59.58912021,55.991234,-40.72528841,-109.8699706,32.16712455,5x3x2xpool_Dep,96.72678691,ON_0R
1641,52.40149136,-28.62581654,-26.94239261,59.6319718,-25.0386713,-57.68362137,40.84147567,5x3x2xpool_Dep,63.47992352,ON_01R
1866,50.48885963,26.61906887,25.80045735,53.90933185,34.42919519,-18.61464132,29.24154403,5x3x2xpool_Dep,47.10640946,ON_05R
1652,57.7966687,9.58464379,0.233843763,66.07787142,3.02161378,-61.42091845,40.01313893,5x3x2xpool_Dep,93.30430049,ON_0R
1670,29.23764573,6.255787422,4.723491342,47.53163155,1.276318079,-42.92597174,0.795837634,5x3x2xpool_Dep,88.73239437,ON_01R
1365,-9.601890961,-52.46838013,-66.56743723,-32.68046167,-76.06495489,49.14237898,26.98812346,5x3x2xpool_Dep,98.79258301,ON_0R
1869,66.88319088,-16.79653271,-16.62255879,68.97835692,-5.439086674,-76.24130789,-13.07348593,5x3x2xWOR_Dep,74.4212963,ON_0R
1887,21.20365718,36.63242304,32.87804578,41.67140964,37.39116339,-29.29156922,3.863431759,5x3x2xpool_Dep,17.38970588,#N/A
1875,47.26028945,28.52318082,26.4194931,58.40559527,25.35402786,-23.42032439,26.81335424,5x3x2xpool_Dep,46.70999188,ON_05R
1559,49.94350512,-66.62531713,-67.16704942,57.02047894,-48.46682464,-156.6697808,29.77792645,5x3x2xpool_Dep,52.94117647,ON_05R
1873,42.7166046,73.79370858,74.58672968,60.33455615,70.10946014,42.09998855,37.98171136,5x3x2xpool_Dep,39.32230102,ON_05R
1423,51.68739734,23.37084774,13.66878647,60.19938118,5.580942761,-9.507102563,36.01162694,5x3x2xpool_Dep,91.85051778,ON_0R
1397,54.03670194,26.52336898,18.66582696,62.38169892,15.26100195,-40.97620521,46.37954786,5x3x2xpool_Dep,97.43589744,ON_0R
1847,22.14517152,2.622952851,14.86624677,38.82111351,7.173835009,11.4126362,-3.111726015,5x3x2xpool_Dep,62.32023011,ON_0R
1676,59.69851527,-36.76162669,-38.00641146,63.16776789,-30.58236523,83.37011782,43.39992508,5x3x2xpool_Dep,99.42528736,ON_0R
1442,-31.23234003,12.06260197,10.31826186,-22.68670277,7.646704234,82.96506321,-30.27000991,5x3x2xpool_Dep,98.72093023,ON_0R
1520,50.14932587,21.47253261,21.97092587,56.62649077,22.82014924,-17.68710379,33.54290428,5x3x2xpool_Dep,53.41905319,ON_05R
1464,49.72681033,-8.206622645,-12.05017167,62.92204874,-16.1791092,-49.8262961,41.04054572,5x3x2xpool_Dep,95.89322382,ON_0R
2026,-131.1090964,-3.855793079,-8.703821096,-191.1198195,-9.679311662,-67.75067576,-68.70138288,5x3x2xpool_Dep,96.12403101,ON_0R
1645,25.49639077,12.0724578,11.76545658,46.042479,7.755721688,72.21220997,14.25860204,5x3x2xpool_Dep,85.49804688,ON_01R
2045,-87.35483067,52.27140005,49.35819848,-42.77933203,43.38413882,-24.83140259,-28.0927424,5x3x2xpool_Dep,22.50733138,#N/A
1939,50.24960788,42.62855622,50.52030229,60.42446366,46.18742852,12.12222392,33.34883476,5x3x2xpool_Dep,50.87585682,ON_01R
1566,61.71400274,-47.09337766,-57.26577527,64.14123188,-30.86877602,-38.38721094,44.54579744,5x3x2xpool_Dep,90.06024096,ON_01R
2060,55.18672233,2.475992511,16.64440509,65.14577143,3.616569687,-56.24176654,39.06514342,5x3x2xpool_Dep,63.11188811,ON_0R
1588,55.97470513,20.83472293,13.00277741,58.44339811,26.27637683,-26.91795548,41.66664861,5x3x2xpool_Dep,79.69151671,ON_0R
1563,-40.25443423,27.39005992,24.87779523,-127.1558378,26.21144293,2.465202903,-43.60487823,5x3x2xpool_Dep,93.65671642,ON_0R
1396,-41.07379636,52.09699912,54.81257261,-6.895002222,49.9515872,37.99250251,-16.46921999,5x3x2xpool_Dep,72.1716515,ON_0R
1438,54.55973243,-55.03427625,-54.44360332,59.57098026,-48.34247768,-18.86873626,34.31637235,5x3x2xpool_Dep,94.82870071,ON_0R
1534,57.09390361,-2.108990726,-3.234744999,67.02515959,-20.35773045,-55.86046,50.97163075,5x3x2xpool_Dep,60.2173913,ON_0R
1570,62.30317042,-75.31415408,-78.14563353,65.63112826,-70.81893409,-171.220409,54.14902353,5x3x2xpool_Dep,65.91362126,ON_0R
1837,34.98143941,41.76066586,39.70901667,45.08331786,36.24784346,14.16656343,24.49154346,5x3x2xpool_Dep,79.67806841,ON_01R
1580,53.11938874,-35.29318367,-27.97585667,58.66403896,-28.1943752,-118.6751829,26.55079495,5x3x2xpool_Dep,62.1801433,ON_0R
1881,53.11036386,-12.55190486,-14.83888515,62.39167102,-22.03195518,-91.40031227,37.50292152,5x3x2xpool_Dep,44.00630915,ON_05R
1886,72.00109807,62.94222088,57.66452019,72.58176825,64.4137467,47.32831709,49.65561862,5x3x2xWR_Dep,74.06290392,ON_0R
1597,-129.8178746,26.20670076,19.101829,-114.0229006,18.107555,68.51403999,-93.29666026,5x3x2xpool_Dep,98.26498423,ON_0R
