sgRNA_Manual,1X_Depletion
1377,86.51838402
1378,89.94148788
1376,74.58382878
1488,70
1511,71.77177177
1487,70
1510,79.0201005
1467,99.50331126
1669,51.03857567
1867,71.49446494
1595,81.41674333
1654,34.35334873
1561,35.6712717
1465,60
1617,97.67047861
1590,84.88142292
1421,99.14244879
1527,80.86500655
1785,95.36971415
1483,51.8723143
1935,67.2655218
1484,92.88629738
1871,65.66579634
1856,39.82125124
1831,69.75222066
1479,96.72678691
1641,63.47992352
1866,47.10640946
1652,93.30430049
1670,88.73239437
1365,98.79258301
1869,74.4212963
1887,17.38970588
1875,46.70999188
1559,52.94117647
1873,39.32230102
1423,91.85051778
1397,97.43589744
1847,62.32023011
1676,99.42528736
1442,98.72093023
1520,53.41905319
1464,95.89322382
2026,96.12403101
1645,85.49804688
2045,22.50733138
1939,50.87585682
1566,90.06024096
2060,63.11188811
1588,79.69151671
1563,93.65671642
1396,72.1716515
1438,94.82870071
1534,60.2173913
1570,65.91362126
1837,79.67806841
1580,62.1801433
1881,44.00630915
1886,74.06290392
1597,98.26498423
1882,46.75414365
1668,72.21542228
1455,91.16047144
1486,60
2063,72.5846926
1883,82.5
1404,95.69752282
2027,95.80152672
1604,73.41772152
1440,76.39077341
1938,35.39244186
1481,97.95501022
1410,89.28
1857,43.11531842
1405,92.24629418
1339,99.44272446
1888,24.30406852
1633,71.73447537
1374,45.1183432
1870,53.92320534
1516,98.66048429
1694,87.64044944
1555,95.77669903
1532,67.31651376
2049,49.84481688
1754,41.02355808
1643,85.20179372
2051,69.99306999
1472,88.11594203
1477,95.21988528
1620,73.41137124
1482,97.74011299
1469,97.2972973
1697,53.50971922
2004,64.38431806
1515,13.21499014
1651,64.33566434
1522,49.46297343
1980,77.07602339
1473,83.86336867
2072,92.44332494
1385,73.18596828
1523,57.31707317
1865,76.74418605
1616,57.85123967
1637,37.76460627
1966,87.40740741
1606,57.79310345
2039,97.75621589
1798,96.80337756
1507,71.95633921
1920,65.19125683
1456,94.20654912
1514,53.13921747
1663,89.06030856
1665,97.50908147
1352,98.55670103
1446,55.30624621
1450,27.66884532
1772,69.92565056
1937,55.50632911
2056,69.40874036
1453,3.383084577
1835,98.08743169
1451,97.39726027
1762,81.22522523
1653,97.38126942
1982,86.16144975
1896,63.91184573
1441,77.07423581
1918,7.202881152
1936,48.92950392
1994,65.98860862
1777,69.74358974
1884,26.02040816
1695,77.59017652
1742,98.04131054
1416,41.31868132
2066,63.91129032
1367,90.37487335
1557,87.37010392
1418,53.85385385
2041,72.01180521
1576,74.204947
1485,39.38437253
1876,97.97468354
1774,72.6541555
1342,88.64994026
1657,95.4984995
1587,89.71631206
1391,59.17992656
1592,91.92156863
1619,91.48211244
1593,50.39808917
1458,80
1990,74.75013151
1390,74.36440678
1466,95.83333333
1449,97.36842105
1742,98.04131054
1849,66.59751037
1568,77.2002772
1944,65.15353805
1572,49.53457447
1452,97.70220588
1839,74.11214953
1834,82.36220472
1688,39.56043956
2035,79.7752809
2065,79.26587302
1575,55.6174559
1408,97.0677452
1848,60.51040967
1419,94.88054608
1476,74.52339688
1439,79.70954357
1460,95.67053854
1832,12.81895504
1678,94.78672986
1506,56.15906887
1852,52.47524752
1769,95.05865624
1879,69.7518444
2015,98.32572298
1854,24.35105068
1662,50
1560,15.27093596
1649,76.10208817
1800,1.025163094
1621,86.5248227
1846,89.85239852
1432,58.82352941
1474,69.14728682
1661,97.69286229
1412,97.65130985
1571,93.06260575
1644,93.71980676
1642,90.57971014
1605,4.705882353
1509,45.42314335
1687,76.39198218
1343,61.18626431
1860,42.31974922
1892,25.97684515
1513,62.17105263
1984,65.13157895
1444,97.18309859
1625,89.59349593
1853,44.90358127
2014,18.94669236
1680,30
1600,88.72246696
1950,32.66331658
1627,79.74522293
1407,92.93308318
1640,58.79354291
1745,84.87199379
1601,45.67901235
1894,74.86376022
1413,94.77329975
1375,65.68396226
1702,44.64493597
1518,11.48648649
1953,57.52461322
1508,54.60869565
1434,60.23706897
1435,52.98953662
1609,73.9625712
1756,87.25621159
1341,99.10141207
1350,98.2781457
2050,79.55641273
1758,81.84948352
1992,48.95168642
1954,63.45646438
1991,44.2687747
1539,16.19217082
1891,49.84756098
1915,57.41512805
1586,65.05660377
1685,98.84453782
1890,85.13033175
1585,92.94019934
1614,37.56145526
1538,63.62683438
1388,59.43396226
1656,96.19787408
1783,98.88438134
2030,43.83561644
1675,94.47852761
1674,99.15254237
1629,87.05035971
1530,88.05227131
1898,61.80844735
1945,73.38995046
1556,98.91135303
1943,77.14604236
1415,50.73995772
2013,60.60070671
1598,98.30795262
2070,50.73917635
1567,36.93340795
1626,50.70126227
1917,61.86887717
2034,69.20693928
1564,97.54299754
1603,31.99174407
1746,82.36547682
1986,88.47058824
1659,92.5443787
1753,83.5694051
1424,17.86427146
1389,79.98580554
1448,98.73524452
1999,54.13080895
1691,40.92769441
1877,74.25404945
2083,68.84113584
1744,96.50423729
2021,97.96747967
1922,56.80147059
1457,93.84164223
2031,79.23025879
2044,53.40314136
1658,80.65083553
1353,97.37373737
2081,10
1624,24.41860465
2075,68.79595588
1838,97.10586443
1793,67.94507576
1975,87.95620438
1696,55.45454545
1478,93.79310345
1524,95.00471254
1417,19.48717949
2053,83.15412186
1521,61.24567474
1974,55.67402894
2047,8.536585366
1425,33.66834171
