Contig,Locus tag,Log fold change,EdgeR adjusted p-value,Mean observed counts,Mean pseudodata counts,Classification,Classification uncertainty,Essential,Product name,COG Class,COG ID, Locus tag,Essential1,Identical Sites,Query coverage,E Value, Locus tag,Essential2,% Identical Sites,Query coverage,E Value, Locus tag,Essential3,% Identical Sites,Query coverage,E Value,"No essential homolog in J2315, E264 or K96243 ",Number of homologs,DEG best hit (Accession No.),,Contig,Locus tag,Log fold change,EdgeR p-value,Mean observed counts,Mean pseudodata counts,Classification,Classification uncertainty,Essential,Product name,COG Class,COG ID, Locus tag,Essential1
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00035,-5.8460810843,6.61874928767618E-013,8,536.8555,Reduced,5.43578931773147E-005,1,"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",H,COG2941,BCAL3472,E,100.00%,100.00%,4.40E-153,BTH_I1108,E,83.20%,100.00%,2.73E-119,BPSL3035,E,84.60%,100.00%,1.71E-121,,8,DEG10350388,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS27660,-5.3764803645,0.0529067705,1,52.8865,Reduced,4.29E-04,0,potassium-transporting ATPase subunit A,-,-,QU43_RS48580,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00060,-10.0199095215,6.51953999955955E-041,1,1324.933,Reduced,2.22044604925031E-016,,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",M,COG0769,BCAL3467,E,100.00%,100.00%,0,BTH_I1113,E,86.40%,100.00%,0,BPSL3030,E,85.00%,100.00%,0,,36,DEG10240105,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS05670,-4.0520850258,3.76E-06,21,402.9935,Reduced,0.051153142,,AraC family transcriptional regulator,K,COG2207,BCAM2003,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00065,-5.379486036,3.00645563164766E-024,25,1203.207,Reduced,0.0004234949,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,M,COG0770,BCAL3466,E,100.00%,100.00%,0,BTH_I1114,E,78.00%,100.00%,0,BPSL3029,E,79.10%,100.00%,0,,41,DEG10350384,,ENA|LAUA01000016|LAUA01000016.1,WQ49_RS16610,-4.0279294551,0.0059713225,6,114.5895,Reduced,0.0548946343,,hypothetical protein,-,-,BCAM0971,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00070,-9.6231395722,6.12760982105134E-031,1,1006.333,Reduced,3.99680288865056E-015,,phospho-N-acetylmuramoyl-pentapeptide transferase,M,COG0472,BCAL3465,E,100.00%,100.00%,0,BTH_I1115,E,98.20%,100.00%,0,BPSL3028,E,98.20%,100.00%,0,,36,DEG10350383,,ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00375,-4.0134056903,2.21E-09,31,578.254,Reduced,0.0572541764,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,G,COG0800,BCAL3407,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00075,-8.5062346813,3.4479263475704E-038,3,1301.1435,Reduced,1.38506983660136E-011,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,M,COG0771,BCAL3464,E,100.00%,100.00%,0,BTH_I1116,E,82.70%,99.80%,0,BPSL3027,E,81.50%,99.80%,0,,35,DEG10240108,,ENA|LAUA01000017|LAUA01000017.1,WQ49_RS34225,-4.0007492339,8.97E-06,19,352.0465,Reduced,0.0593796842,,IclR family transcriptional regulator,K,COG1414,BCAL1078,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00085,-9.5305535013,6.62270370366235E-029,1,943.7705,Reduced,8.21565038222615E-015,,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,M,COG0707,BCAL3462,E,100.00%,100.00%,0,BTH_I1118,E,87.70%,100.00%,0,BPSL3025,E,86.90%,100.00%,0,,39,DEG10240110,,ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00080,-3.9733794017,1.61E-16,61,1104.929,Reduced,0.0642037001,,cell division protein FtsW,D,COG0772,BCAL3463,E
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00090,-9.8819445458,8.65380421207407E-037,1,1204.0905,Reduced,4.44089209850062E-016,,murC,M,COG0773,BCAL3461,E,100.00%,100.00%,0,BTH_I1119,E,90.90%,99.78%,0,BPSL3024,,90.50%,99.78%,0,,65,DEG10240111,,ENA|LAUA01000014|LAUA01000014.1,WQ49_RS15080,-3.9669127315,0.0579451728,4,73.8365,Reduced,0.0653900693,,hypothetical protein,-,-,BCAM1280a,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00095,-9.3079552832,5.73262536111535E-026,1,808.804,Reduced,4.46309655899312E-014,,D-alanine--D-alanine ligase,M,COG1181,BCAL3460,E,100.00%,100.00%,0,BTH_I1120,E,92.90%,99.68%,0,BPSL3023,E,92.30%,99.68%,0,,32,DEG10240112,,ENA|LAUA01000003|LAUA01000003.1,WQ49_RS08740,-3.9575061764,0.0118161883,7,127.0175,Reduced,0.0671483081,,hypothetical protein,-,-,BCAS0640,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00100,-8.997873081,1.02798160831306E-019,1,652.357,Reduced,4.38094005517086E-013,,cell division protein FtsQ,M,COG1589,BCAL3459,E,100.00%,100.00%,0,BTH_I1121,E,91.20%,100.00%,3.94E-157,BPSL3022,E,91.60%,100.00%,3.32E-157,,13,DEG10350378,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS04545,-3.9455786969,0.0125922094,7,125.968,Reduced,0.069433956,,XRE family transcriptional regulator,-,-,BCAM1767,
ENA|LAUA01000001|LAUA01000001.1,WQ49_RS00105,-9.7094999287,2.76105363303711E-031,1,1068.419,Reduced,1.99840144432528E-015,,cell division protein FtsA,D,COG0849,BCAL3458,E,100.00%,100.00%,0,BTH_I1122,E,98.30%,100.00%,0,BPSL3021,E,98.00%,100.00%,0,,34,DEG10240114,,ENA|LAUA01000002|LAUA01000002.1,WQ49_RS03155,-3.9447758184,9.02E-04,12,214.534,Reduced,0.0695900933,,hypothetical protein,-,-,BCAM1501,
