OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
452098	206558404	BCAL0001	431	1645	+	404	-	sodium/hydrogen exchanger family protein
452098	206558405	BCAL0002	1660	2775	+	371	COG2170S	carboxylate-amine ligase
452099	206558406	BCAL0003	3283	3921	+	212	COG1846K	MarR family regulatory protein
452099	206558407	BCAL0004	3950	4660	+	236	COG0518F	glutamine amidotransferase
452100	206558410	BCAL0007	6845	8329	-	494	COG0642T	two-component regulatory system, sensor kinase protein
452100	206558411	BCAL0008	8450	9142	-	230	COG0745TK	two-component regulatory system, response regulator protein
452101	206558419	BCAL0015	15597	16376	+	259	COG0411E	putative branched-chain amino acid ABC transporter ATP-binding protein
452101	206558420	BCAL0016	16373	17128	+	251	COG0410E	putative branched-chain amino acid ABC transporter ATP-binding protein
452101	206558421	BCAL0017	17206	18405	+	399	COG0683E	putative branched-chain amino acid ABC transporter periplasmic protein
452102	206558422	BCAL0018	18538	19422	+	294	COG0559E	putative branched-chain amino acid ABC transporter permease
452102	206558423	BCAL0019	19422	20399	+	325	COG4177E	putative branched-chain amino acid ABC transporter permease
452103	206558425	BCAL0021	22845	23900	+	351	COG0559E	putative branched-chain amino acid ABC transporter permease
452103	206558426	BCAL0022	23905	25689	+	594	COG0411E	putative branched-chain amino acid ABC transporter ATP-binding membrane protein
452103	206558427	BCAL0023	25704	26444	+	246	COG0410E	putative branched-chain amino acid ABC transporter ATP-binding protein
452104	206558428	BCAL0024	26985	28955	+	656	COG0445D	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
452104	206558429	BCAL0025	28952	29638	+	228	COG0357M	16S rRNA methyltransferase GidB
452104	206558430	BCAL0026	29690	30469	+	259	COG1192D	chromosome partitioning protein ParA
452104	206558431	BCAL0027	30501	31394	+	297	COG1475K	chromosome partitioning protein ParB
452104	206558432	BCAL0028	31405	32535	+	376	COG1055P	putative citrate transporter protein
452105	206558436	BCAL0032	35064	35534	+	156	COG0711C	F0F1 ATP synthase subunit B
452105	206558437	BCAL0033	35537	36076	+	179	COG0712C	F0F1 ATP synthase subunit delta
452105	206558438	BCAL0034	36121	37662	+	513	COG0056C	F0F1 ATP synthase subunit alpha
452105	206558439	BCAL0035	37731	38606	+	291	COG0224C	F0F1 ATP synthase subunit gamma
452105	206558440	BCAL0036	38673	40067	+	464	COG0055C	F0F1 ATP synthase subunit beta
452106	206558446	BCAL0042	48506	52438	+	1310	COG4230C	trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
452106	206558447	BCAL0043	52523	53662	+	379	COG0683E	putative extracellular ligand-binding protein
452107	206558448	BCAL0044	53796	54320	+	174	COG2963L	putative transposase
452107	206558449	BCAL0045	54320	55156	+	278	COG2801L	putative transposase
452108	206558450	BCAL0046	55228	56736	-	502	COG0318IQ	putative fatty-acid CoA ligase
452108	206558451	BCAL0047	56788	58440	-	550	COG1960I	putative acyl-CoA dehydrogenase
452109	206558455	BCAL0051	62070	62858	+	262	COG0834ET	periplasmic solute-binding protein
452109	206558456	BCAL0052	62874	64304	+	476	COG0277C	putative oxidoreductase
