sgRNA,Locus_tag,Gene,Gene,Old_locus_tag,KEGG,COG,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,drug,Mean,Z_scores
1339,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",446.1339163,0.176341848,0.141305106,1.247950994,0.212049004,0.722216815,PHAR,0.021310805,1.097136877
1340,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",295.1408207,0.318783676,0.158721689,2.008444328,0.044596096,0.48058255,PHAR,,1.874179093
1341,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",429.563825,0.272130597,0.231441471,1.175807411,0.239671844,0.760304394,PHAR,,1.083728819
1342,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",335.0118909,-0.13087289,0.122483071,-1.068497785,0.285296029,0.780874062,PHAR,,-1.242487582
1343,WQ49_RS23255,BCAL0422,BCAL0422,BCAL0422,DNA Replication,"Replication, recombination and repair",911.2372769,0.129834217,0.103370212,1.256011901,0.209111655,0.722216815,PHAR,,1.049851882
1350,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",276.0102135,0.16566392,0.151131897,1.096154574,0.273011135,0.780874062,PHAR,,0.955146585
1351,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",132.5412064,0.040186398,0.188688807,0.212977117,0.831344811,0.991149753,PHAR,,0.100035575
1352,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",572.691791,0.356307231,0.149503763,2.383265972,0.017159791,0.364315569,PHAR,,2.240722371
1353,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",619.3758536,0.306365505,0.125502898,2.441103038,0.014642476,0.323305877,PHAR,,2.271299749
1354,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",245.7471507,0.014029084,0.14553728,0.096395124,0.923206765,0.994207867,PHAR,,-0.05003337
1355,WQ49_RS23250,gyrB,gyrB,BCAL0421,DNA Replication,"Replication, recombination and repair",68.31182551,0.119261461,0.261946511,0.455289365,0.648901076,0.943577704,PHAR,,0.373933806
1362,WQ49_RS12990,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0030,Metabolic pathways,Energy production and conversion,1692.623514,0.25850683,0.114553936,2.256638571,0.024030668,0.409063492,PHAR,,2.070605637
1363,WQ49_RS12995,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0031,Metabolic pathways,Energy production and conversion,1655.974772,0.183006655,0.103988728,1.759870117,0.078429831,0.521605624,PHAR,,1.55493632
1365,WQ49_RS13005,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0033,Metabolic pathways,Energy production and conversion,929.010912,0.201637337,0.094239414,2.139628522,0.0323848,0.438601188,PHAR,,1.913493787
1366,WQ49_RS13010,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0034,ATP biosynthesis,Energy production and conversion,881.9331628,0.42465615,0.120473702,3.524886701,0.000423664,0.057336369,PHAR,,3.347994944
1367,WQ49_RS13015,F0F1 ATP synthase Operon,F0F1 ATP synthase Operon,BCAL0035,ATP biosynthesis,Energy production and conversion,644.233347,0.137022842,0.115862756,1.182630609,0.236955576,0.760304394,PHAR,,0.998699158
1375,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",1020.437874,-0.040025738,0.094842523,-0.422023127,0.673008137,0.953577436,PHAR,,-0.646719857
1376,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",2449.464716,0.038540203,0.075362216,0.511399542,0.609071316,0.941669267,PHAR,,0.228621169
1377,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",3212.60549,-0.068359313,0.082029279,-0.833352599,0.4046459,0.846771671,PHAR,,-1.093147699
1378,WQ49_RS01680,pyrB/Holliday junction DNA helicase,pyrB/Holliday junction DNA helicase,BCAL3141,Ribosome biogenesis,"Replication, recombination and repair",2907.309798,-0.042560454,0.075191148,-0.566030114,0.571373309,0.937141708,PHAR,,-0.84945184
1384,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0166,Others,Energy production and conversion,14244.06833,0.23898701,0.20384514,1.172394938,0.241038531,0.760304394,PHAR,,1.067850847
1385,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0166,Others,Energy production and conversion,894.9559004,-0.010148224,0.108447358,-0.09357742,0.925444847,0.994207867,PHAR,,-0.290085709
1388,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,453.5748086,-0.084060449,0.121674354,-0.690864147,0.489650919,0.883291854,PHAR,,-0.86601038
1389,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,772.383683,-0.095610739,0.110239416,-0.867300848,0.385777192,0.846771671,PHAR,,-1.060614689
1390,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,391.2220577,0.044483424,0.116866326,0.380635088,0.703474041,0.968373244,PHAR,,0.198283118
1391,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,Others,Energy production and conversion,461.202911,-0.126188374,0.11294809,-1.117224505,0.263898345,0.778994046,PHAR,,-1.305902373
1396,WQ49_RS21425,parA parB operon,parA parB operon,BCAM0004,Chromosome and associated proteins,Transcription,639.3150323,0.147167477,0.104424246,1.409322856,0.158739723,0.669565266,PHAR,,1.205243769
1397,WQ49_RS21430,parA parB operon,parA parB operon,BCAM0003,Chromosome and associated proteins,"Cell cycle control, cell division, chromosome partitioning",686.4226707,-0.123726526,0.112563458,-1.099171324,0.271693344,0.780874062,PHAR,,-1.288493908
1398,WQ49_RS21425,parA parB operon,parA parB operon,BCAM0004,Chromosome and associated proteins,Transcription,10.02545912,-0.151815707,0.628020156,-0.241736997,0.80898396,0.991149753,PHAR,,-0.275670311
1399,WQ49_RS21430,parA parB operon,parA parB operon,BCAM0003,Chromosome and associated proteins,"Cell cycle control, cell division, chromosome partitioning",2648.379783,-0.130006686,0.089230686,-1.456972844,0.145123877,0.655549212,PHAR,,-1.695801052
1404,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,417.5239161,0.152117719,0.112729377,1.349406193,0.177206533,0.703212806,PHAR,,1.160362259
1405,WQ49_RS12395,rpoB,rpoB,BCAL0227,Metabolic pathways,Transcription,280.2186836,0.231548403,0.142201684,1.628309855,0.103459201,0.594890405,PHAR,,1.478446617
1406,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,187.1893737,0.083099888,0.153322395,0.54199446,0.587822323,0.937141708,PHAR,,0.403001034
1407,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,360.1015624,0.15958035,0.155835885,1.024028257,0.305821929,0.79629106,PHAR,,0.887276668
1408,WQ49_RS12400,rpoB,rpoB,BCAL0226,Metabolic pathways,Transcription,279.8430096,0.262742582,0.153969431,1.706459395,0.08792258,0.556677665,PHAR,,1.568050071
1410,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",899.9290844,-0.257518198,0.101635491,-2.53374285,0.011285151,0.283154705,PHAR,,-2.743421621
1411,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",1330.407068,-0.161757281,0.105681478,-1.530611464,0.125865447,0.634269819,PHAR,,-1.732262741
1412,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",161.0533767,0.154741355,0.169764931,0.911503659,0.362030059,0.846771671,PHAR,,0.785972403
1413,WQ49_RS35055,gyrA,gyrA,BCAL2957,DNA Replication,"Replication, recombination and repair",1067.044644,0.351411164,0.10881301,3.229495859,0.001240087,0.114087983,PHAR,,3.033647909
1414,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA Replication,"Replication, recombination and repair",0.584014979,0.194824983,2.83817462,0.068644467,0.945272623,0.998447565,PHAR,,0.061135836
1415,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA Replication,"Replication, recombination and repair",241.1487962,-0.204092288,0.138921555,-1.469118936,0.141800533,0.655549212,PHAR,,-1.622520651
1416,WQ49_RS27295,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2455,DNA Replication,"Replication, recombination and repair",362.5715081,0.036634929,0.14305409,0.256091451,0.797880223,0.991149753,PHAR,,0.107121191
1417,WQ49_RS27300,parC/DNA topoisomerase IV subunit A/B,parC/DNA topoisomerase IV subunit A/B,BCAL2454,DNA Replication,"Replication, recombination and repair",370.1074227,-0.260169833,0.122685732,-2.12062013,0.033953783,0.438601188,PHAR,,-2.29432252
1418,WQ49_RS00545,leuS,leuS,BCAL3373,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",425.3773508,-0.161334534,0.125174908,-1.288872796,0.197442313,0.722216815,PHAR,,-1.459121013
1419,WQ49_RS00550,leuS,leuS,BCAL3372,Others,Cell wall/membrane/envelope biogenesis,167.005768,0.158619375,0.162673434,0.97507854,0.329521302,0.826798904,PHAR,,0.844074945
1420,WQ49_RS00555,leuS,leuS,BCAL3371,DNA Replication,"Replication, recombination and repair",116.2318216,-0.240987033,0.189519758,-1.271566804,0.203527077,0.722216815,PHAR,,-1.384013153
1421,WQ49_RS00550,leuS,leuS,BCAL3372,Others,Cell wall/membrane/envelope biogenesis,1369.377498,0.200131987,0.113042404,1.770415171,0.076658004,0.519172639,PHAR,,1.581894721
1422,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,22.39126401,-0.182593957,0.417754645,-0.437084206,0.662050281,0.950598417,PHAR,,-0.488096935
1423,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,368.7948144,0.06871588,0.126839795,0.541753314,0.587988457,0.937141708,PHAR,,0.37373976
1424,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,552.8288225,0.037844757,0.116691385,0.324314918,0.745699627,0.983663352,PHAR,,0.14168957
1425,WQ49_RS26005,cbbA,cbbA,BCAL2839,Biosynthesis of amino acids,Carbohydrate transport and metabolism,351.7869403,0.249709679,0.128512435,1.943077946,0.052006741,0.48058255,PHAR,,1.777251155
1431,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,357.0733337,-0.099361058,0.127958264,-0.776511458,0.437447058,0.851818027,PHAR,,-0.943056424
1432,WQ49_RS00925,pyrroline-5-carboxylate reductase,pyrroline-5-carboxylate reductase,BCAL3292,Arginine and proline metabolism,Amino acid transport and metabolism,780.7141828,-0.196318299,0.10628469,-1.847098577,0.064732855,0.489054715,PHAR,,-2.047605394
1434,WQ49_RS12210,hemB,hemB,BCAL0264,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,574.9679323,-0.102434384,0.115324712,-0.888225795,0.374419306,0.846771671,PHAR,,-1.073015373
1435,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,2434.698797,0.05743328,0.106379463,0.539890678,0.589272427,0.937141708,PHAR,,0.339562491
1436,WQ49_RS12260,secY,secY,BCAL0254,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",61.11460781,0.345114494,0.260663826,1.323983076,0.185508665,0.711116551,PHAR,,1.242227179
1437,WQ49_RS00270,nrdB,nrdB,BCAL3428,adenosine deoxyribonucleotides de novo biosynthesis,Nucleotide transport and metabolism,0.424127232,1.66524878,3.10422677,0.536445596,0.591650626,0.937141708,PHAR,,0.529580503
1438,WQ49_RS26970,metG,metG,BCAL2646,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",0.737232205,0.209247364,2.558072592,0.081798837,0.934806681,0.996164648,PHAR,,0.073468032
1439,WQ49_RS34305,astD,astD,BCAL1062,Arginine and proline metabolism,Energy production and conversion,590.1736943,-0.045239675,0.102368318,-0.441930433,0.658539548,0.949122272,PHAR,,-0.65010817
1440,WQ49_RS30045,arnA1,arnA1,BCAL1931,Others,Cell wall/membrane/envelope biogenesis,795.2166186,0.109231898,0.105571547,1.034671752,0.300822232,0.787516939,PHAR,,0.832810499
1441,WQ49_RS23480,fmt,fmt,BCAL0466,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",1692.635491,0.038457843,0.095435256,0.402973123,0.686967997,0.962452625,PHAR,,0.179671947
1442,WQ49_RS27525,dnaE,dnaE,BCAL2409,DNA Replication,"Replication, recombination and repair",768.4067136,0.255174125,0.111665085,2.285173786,0.02230264,0.409063492,PHAR,,2.094328054
1443,WQ49_RS06135,cblA,cblA,BCAM2095,Others,Transcription,64.75381709,-0.032449189,0.256996875,-0.126262969,0.899523768,0.994207867,PHAR,,-0.209185397
1444,WQ49_RS28880,cysS,cysS,BCAL2150,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",877.2874212,0.237326443,0.105380063,2.252100027,0.024315952,0.409063492,PHAR,,2.049871975
1445,WQ49_RS00060,murC,murC,BCAL3467,Lysine biosynthesis,Cell wall/membrane/envelope biogenesis,17479.27737,0.192702181,0.197315489,0.976619631,0.328757497,0.826798904,PHAR,,0.868615921
1446,0,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,571.4467198,-0.157440039,0.112417703,-1.400491514,0.161366183,0.669730323,PHAR,,-1.590059564
1447,WQ49_RS24690,lipA,lipA,BCAL0709,lipoate biosynthesis and incorporation (yeast),Coenzyme transport and metabolism,560.1082482,-0.117434585,0.110334348,-1.064352009,0.287169265,0.780874062,PHAR,,-1.257499521
1448,WQ49_RS32320,pheS,pheS,BCAL1485,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",553.7717306,0.051551095,0.111941134,0.460519681,0.645143248,0.942113949,PHAR,,0.270144579
1449,WQ49_RS25535,aspS,aspS,BCAL0880,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",813.5309607,0.256211974,0.104500111,2.451786625,0.014214893,0.323305877,PHAR,,2.247855695
1450,WQ49_RS23690,diaminopimelate epimerase,diaminopimelate epimerase,BCAL0507,Biosynthesis of amino acids,Amino acid transport and metabolism,546.6824517,0.045360749,0.108342526,0.418679084,0.675450684,0.953577436,PHAR,,0.221980653
