,EG_Locus tag,Gene,old_locus_tag,Product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
sgRNA1445,WQ49_RS00060,murC (ftsZ),BCAL3467,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",18204.34838,-5.934650112,0.123397341,48.09382496,0,3.80681381908704e-55
sgRNA1649,WQ49_RS28705,ftsX,BCAL2186,cell division protein FtsX,453.2606597,-2.210700847,0.172427627,12.82103619,1.25018516226175e-37,1.10676E-09
sgRNA1384,WQ49_RS20605,ndh,BCAM0166,0,14487.29027,-1.292694634,0.124128709,10.41414708,2.13704513175776e-25,1.75316E-09
sgRNA1978,WQ49_RS25105,ftsY,BCAL0793,cell division protein FtsY,266.601843,-1.34631668,0.205221647,6.560305407,5.36976859366946e-11,8.17547268386175e-09
sgRNA1443,WQ49_RS06135,cblA,BCAM2095,Cro/Cl family transcriptional regulator,24.50625929,-2.912041855,0.593029356,4.91045144,9.08669571159748e-07,4.33820161746825e-23
sgRNA1584,WQ49_RS08550,,0,#N/A,209.0881797,0.974509138,0.201389533,-4.838926442,1.30542346128277e-06,0.0001325
sgRNA1338,WQ49_RS23255,dnaN,BCAL0422,DNA polymerase III subunit beta,4315.303728,-3.088346208,1.428113785,4.263208065,2.01512719382546e-05,3.80681381908704e-35
sgRNA1650,WQ49_RS28730,WQ49_RS28730,BCAL2181,pyrG,113.3419208,0.748604984,0.257022221,-2.912608024,0.003584242,0.272850426
sgRNA1866,WQ49_RS05400,WQ49_RS05400,BCAM1949,3-oxoacyl-ACP reductase,506.2261835,-0.437806066,0.159109439,2.751603345,0.00593043,0.401292459
sgRNA2014,WQ49_RS28560,WQ49_RS28560,BCAL2212,bifunctional protein FolD,117.7721496,-0.616808111,0.237748404,2.594373299,0.009476353,0.577109922
sgRNA1680,WQ49_RS34550,WQ49_RS34550,BCAL2858,elongation factor P,1164.644324,-0.34149857,0.133386389,2.560220517,0.010460576,0.579135548
sgRNA1350,WQ49_RS23250,gyrB,BCAL0421,gyrB,481.6679709,-0.427580862,0.178890834,2.390177589,0.016840228,0.854641554
sgRNA1339,WQ49_RS23255,BCAL0422,BCAL0422,DNA polymerase III subunit beta,1642.429647,-0.054739509,0.134706538,0.406361191,0.68447723,0.999054806
sgRNA1340,WQ49_RS23255,BCAL0422,BCAL0422,DNA polymerase III subunit beta,1385.270143,0.065910789,0.14447994,-0.45619336,0.64825094,0.999054806
sgRNA1341,WQ49_RS23255,BCAL0422,BCAL0422,DNA polymerase III subunit beta,2197.992249,-0.121307611,0.122646763,0.989081236,0.322623398,0.999054806
sgRNA1342,WQ49_RS23255,BCAL0422,BCAL0422,DNA polymerase III subunit beta,387.836208,-0.162121551,0.166567762,0.973306895,0.330400797,0.999054806
sgRNA1343,WQ49_RS23255,BCAL0422,BCAL0422,DNA polymerase III subunit beta,1364.591894,0.016506231,0.138799746,-0.11892119,0.905337794,0.999054806
sgRNA1351,WQ49_RS23250,gyrB,BCAL0421,gyrB,265.9951354,-0.017658672,0.180133118,0.098031237,0.921907489,0.999054806
sgRNA1352,WQ49_RS23250,gyrB,BCAL0421,gyrB,2332.376969,0.000989489,0.123901334,-0.007986102,0.99362808,0.999054806
sgRNA1353,WQ49_RS23250,gyrB,BCAL0421,gyrB,1953.212468,-0.155209329,0.126150843,1.230347139,0.218567139,0.999054806
sgRNA1354,WQ49_RS23250,gyrB,BCAL0421,gyrB,326.4114529,-0.064232588,0.170949081,0.375741056,0.707109412,0.999054806
sgRNA1355,WQ49_RS23250,gyrB,BCAL0421,gyrB,77.69000833,-0.119134016,0.281139874,0.423753536,0.671745567,0.999054806
sgRNA1362,WQ49_RS12990,F0F1 ATP synthase Operon,BCAL0030,ATP synthase subunit A,2730.780965,-0.021934067,0.129605367,0.169237338,0.865609962,0.999054806
sgRNA1363,WQ49_RS12995,F0F1 ATP synthase Operon,BCAL0031,F0F1 ATP synthase subunit C,3244.329829,-0.099444559,0.138050793,0.720347611,0.471310997,0.999054806
sgRNA1364,WQ49_RS13000,F0F1 ATP synthase Operon,BCAL0032,ATP synthase subunit b,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1365,WQ49_RS13005,F0F1 ATP synthase Operon,BCAL0033,ATP synthase subunit delta,1522.358605,-0.165988859,0.133921947,1.23944479,0.215180823,0.999054806
sgRNA1366,WQ49_RS13010,F0F1 ATP synthase Operon,BCAL0034,ATP synthase subunit alpha,1103.091936,0.200781936,0.148385402,-1.353111107,0.176020138,0.999054806
sgRNA1367,WQ49_RS13015,F0F1 ATP synthase Operon,BCAL0035,ATP synthase subunit gamma,623.7213311,0.136889423,0.16352916,-0.837094882,0.402539237,0.999054806
sgRNA1374,WQ49_RS01680,pyrB/Holliday junction DNA helicase,BCAL3141,Holliday junction DNA helicase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1375,WQ49_RS01680,pyrB/Holliday junction DNA helicase,BCAL3141,Holliday junction DNA helicase,899.1631062,-0.000392147,0.144746497,0.002709197,0.997838376,0.999054806
sgRNA1376,WQ49_RS01680,pyrB/Holliday junction DNA helicase,BCAL3141,Holliday junction DNA helicase,2082.776454,0.03388169,0.123818034,-0.273640992,0.784360529,0.999054806
sgRNA1377,WQ49_RS01680,pyrB/Holliday junction DNA helicase,BCAL3141,Holliday junction DNA helicase,2502.226951,0.060931285,0.123741322,-0.492408553,0.622430554,0.999054806
sgRNA1378,WQ49_RS01680,pyrB/Holliday junction DNA helicase,BCAL3141,Holliday junction DNA helicase,2384.637175,0.038923931,0.142961021,-0.272269534,0.78541478,0.999054806
sgRNA1385,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,BCAM0166,0,746.4872992,0.049831068,0.142216336,-0.3503892,0.72604663,0.999054806
sgRNA1388,WQ49_RS20605,pyridine nucleotide-disulfide oxidoreductase,BCAM0905,0,364.9437268,-0.060581597,0.163762241,0.369936297,0.711429956,0.999054806
